model,name,guid,overridemat,overrideviewmat,icon,localizedStringID,productionLevel
mp_top_m_a_08c,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_m_a_08d,shirt10_1,0x6202002,m/mtl_mp_top_08d,ms/mtl_mp_view_top_08d,s1_cao_image_top_08a_1,LOOT_ATLAS_PMC_SHIRT_1,
mp_top_m_a_08d,shirt10_2,0x6204002,m/mtl_mp_top_08f,ms/mtl_mp_view_top_08f,s1_cao_image_top_08a_2,LOOT_ATLAS_PMC_SHIRT_2,
mp_top_m_a_08d,shirt10_3,0x6206002,m/mtl_mp_top_08j,ms/mtl_mp_view_top_08j,s1_cao_image_top_08a_3,LOOT_ATLAS_PMC_SHIRT_3,
mp_top_m_a_08d,shirt10_4,0x6208002,m/mtl_mp_top_08q,ms/mtl_mp_view_top_08q,s1_cao_image_top_08a_4,LOOT_ATLAS_PMC_SHIRT_4,
mp_top_m_a_08d,shirt10_5,0x620A002,m/mtl_mp_top_08punk,ms/mtl_mp_view_top_08punk,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_5,
mp_top_m_a_08d,shirt10_6,0x620C002,m/mtl_mp_top_08dsco,ms/mtl_mp_view_top_08dsco,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_6,
mp_top_m_a_08d,shirt10_7,0x620E002,m/mtl_mp_top_08cards,ms/mtl_mp_view_top_08cards,s1_cao_image_pending,LOOT_ATLAS_PMC_SHIRT_7,
mp_top_f_a_06a,shirt8_1,0x6202004,m/mtl_mp_top_06f,m/mtl_mp_view_top_06f,s1_cao_image_top_06a_1,LOOT_SENTINEL_COVERT_SHIRT_1,
mp_top_f_a_06a,shirt8_2,0x6204004,m/mtl_mp_top_06c,m/mtl_mp_view_top_06c,s1_cao_image_top_06a_2,LOOT_SENTINEL_COVERT_SHIRT_2,
mp_top_f_a_06a,shirt8_3,0x6206004,m/mtl_mp_top_06j,m/mtl_mp_view_top_06r,s1_cao_image_top_06a_3,LOOT_SENTINEL_COVERT_SHIRT_3,
mp_top_f_a_06a,shirt8_4,0x6208004,m/mtl_mp_top_06i,m/mtl_mp_view_top_06i,s1_cao_image_top_06a_4,LOOT_SENTINEL_COVERT_SHIRT_4,
mp_top_f_a_06a,shirt8_5,0x620A004,m/mtl_mp_top_06_arctic,m/mtl_mp_view_top_06_arctic,s1_cao_image_top_06a_5,LOOT_SENTINEL_COVERT_SHIRT_5,
mp_top_f_a_06a,shirt8_6,0x620C004,m/mtl_mp_top_06tra,m/mtl_mp_view_top_06tra,s1_cao_image_top_06a_6,LOOT_SENTINEL_COVERT_SHIRT_6,
mp_top_f_a_06a,shirt8_7,0x620E004,m/mtl_mp_top_06_clown,m/mtl_mp_view_top_06_clown,s1_cao_image_top_06a_7,LOOT_SENTINEL_COVERT_SHIRT_7,
mp_top_m_a_06a,shirt8_1,0x6202004,m/mtl_mp_top_06f,m/mtl_mp_view_top_06f,s1_cao_image_top_06a_1,LOOT_SENTINEL_COVERT_SHIRT_1,
mp_top_m_a_06a,shirt8_2,0x6204004,m/mtl_mp_top_06c,m/mtl_mp_view_top_06c,s1_cao_image_top_06a_2,LOOT_SENTINEL_COVERT_SHIRT_2,
mp_top_m_a_06a,shirt8_3,0x6206004,m/mtl_mp_top_06j,m/mtl_mp_view_top_06r,s1_cao_image_top_06a_3,LOOT_SENTINEL_COVERT_SHIRT_3,
mp_top_m_a_06a,shirt8_4,0x6208004,m/mtl_mp_top_06i,m/mtl_mp_view_top_06i,s1_cao_image_top_06a_4,LOOT_SENTINEL_COVERT_SHIRT_4,
mp_top_m_a_06a,shirt8_5,0x620A004,m/mtl_mp_top_06_arctic,m/mtl_mp_view_top_06_arctic,s1_cao_image_pending,LOOT_SENTINEL_COVERT_SHIRT_5,
mp_top_m_a_06a,shirt8_6,0x620C004,m/mtl_mp_top_06tra,m/mtl_mp_view_top_06tra,s1_cao_image_pending,LOOT_SENTINEL_COVERT_SHIRT_6,
mp_top_m_a_06a,shirt8_7,0x620E004,m/mtl_mp_top_06_clown,m/mtl_mp_view_top_06_clown,s1_cao_image_pending,LOOT_SENTINEL_COVERT_SHIRT_7,
mp_top_f_a_26a,shirt19_1,0x6202006,m/mtl_mp_top_26b,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_1,LOOT_BARE_ARMS_1,
mp_top_f_a_26a,shirt19_2,0x6204006,m/mtl_mp_top_26spa,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_f_a_26a,shirt19_3,0x6206006,m/mtl_mp_top_26apo,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_f_a_26b,shirt19_1,0x6202006,m/mtl_mp_top_26b,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_1,LOOT_BARE_ARMS_1,
mp_top_f_a_26b,shirt19_2,0x6204006,m/mtl_mp_top_26spa,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_f_a_26b,shirt19_3,0x6206006,m/mtl_mp_top_26apo,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_f_a_26c,shirt19_1,0x6202006,m/mtl_mp_top_26b,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_1,LOOT_BARE_ARMS_1,
mp_top_f_a_26c,shirt19_2,0x6204006,m/mtl_mp_top_26spa,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_f_a_26c,shirt19_3,0x6206006,m/mtl_mp_top_26apo,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_f_a_26d,shirt19_1,0x6202006,m/mtl_mp_top_26b,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_1,LOOT_BARE_ARMS_1,
mp_top_f_a_26d,shirt19_2,0x6204006,m/mtl_mp_top_26spa,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_f_a_26d,shirt19_3,0x6206006,m/mtl_mp_top_26apo,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_m_a_26a,shirt19_1,0x6202006,m/mtl_mp_top_26b,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_BARE_ARMS_1,
mp_top_m_a_26a,shirt19_2,0x6204006,m/mtl_mp_top_26spa,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_m_a_26a,shirt19_3,0x6206006,m/mtl_mp_top_26apo,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_m_a_26b,shirt19_1,0x6202006,m/mtl_mp_top_26b,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_BARE_ARMS_1,
mp_top_m_a_26b,shirt19_2,0x6204006,m/mtl_mp_top_26spa,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_m_a_26b,shirt19_3,0x6206006,m/mtl_mp_top_26apo,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_m_a_26c,shirt19_1,0x6202006,m/mtl_mp_top_26b,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_BARE_ARMS_1,
mp_top_m_a_26c,shirt19_2,0x6204006,m/mtl_mp_top_26spa,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_m_a_26c,shirt19_3,0x6206006,m/mtl_mp_top_26apo,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_m_a_26d,shirt19_1,0x6202006,m/mtl_mp_top_26b,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_BARE_ARMS_1,
mp_top_m_a_26d,shirt19_2,0x6204006,m/mtl_mp_top_26spa,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_2,LOOT_BARE_ARMS_2,
mp_top_m_a_26d,shirt19_3,0x6206006,m/mtl_mp_top_26apo,m/mtl_mp_view_top_04a,s1_cao_image_top_26a_3,LOOT_BARE_ARMS_3,
mp_top_f_a_09a,shirt14_1,0x6202007,m/mtl_mp_top_09j,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_f_a_09a,shirt14_2,0x6204007,m/mtl_mp_top_09d,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_f_a_09a,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_3,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_f_a_09a,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_4,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_f_a_09a,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_f_a_09a,shirt14_6,0x620C007,m/mtl_mp_top_09qua,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_f_a_09b,shirt14_1,0x6202007,m/mtl_mp_top_09j,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_f_a_09b,shirt14_2,0x6204007,m/mtl_mp_top_09d,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_f_a_09b,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_3,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_f_a_09b,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_4,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_f_a_09b,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_f_a_09b,shirt14_6,0x620C007,m/mtl_mp_top_09qua,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_f_a_09c,shirt14_1,0x6202007,m/mtl_mp_top_09j,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_f_a_09c,shirt14_2,0x6204007,m/mtl_mp_top_09d,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_f_a_09c,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_3,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_f_a_09c,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_4,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_f_a_09c,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_f_a_09c,shirt14_6,0x620C007,m/mtl_mp_top_09qua,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_f_a_09d,shirt14_1,0x6202007,m/mtl_mp_top_09j,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_f_a_09d,shirt14_2,0x6204007,m/mtl_mp_top_09d,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_f_a_09d,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_3,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_f_a_09d,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_4,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_f_a_09d,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_f_a_09d,shirt14_6,0x620C007,m/mtl_mp_top_09qua,mc/mtl_mp_view_top_f_04b,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_m_a_09a,shirt14_1,0x6202007,m/mtl_mp_top_09j,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_m_a_09a,shirt14_2,0x6204007,m/mtl_mp_top_09d,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_m_a_09a,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_m_a_09a,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_m_a_09a,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_m_a_09a,shirt14_6,0x620C007,m/mtl_mp_top_09qua,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_m_a_09b,shirt14_1,0x6202007,m/mtl_mp_top_09j,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_m_a_09b,shirt14_2,0x6204007,m/mtl_mp_top_09d,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
mp_top_m_a_09b,shirt14_3,0x6206007,m/mtl_mp_top_09_paratrooper,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_NIGERIAN_ARMY_SHIRT_3,
mp_top_m_a_09b,shirt14_4,0x6208007,m/mtl_mp_top_09_lady,m/mtl_mp_view_top_04a,s1_cao_image_pending,LOOT_NIGERIAN_ARMY_SHIRT_4,
mp_top_m_a_09b,shirt14_5,0x620A007,m/mtl_mp_top_09_desert,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_5,LOOT_NIGERIAN_ARMY_SHIRT_5,
mp_top_m_a_09b,shirt14_6,0x620C007,m/mtl_mp_top_09qua,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_6,LOOT_NIGERIAN_ARMY_SHIRT_6,
mp_top_m_a_09c,shirt14_1,0x6202007,m/mtl_mp_top_09j,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_1,LOOT_NIGERIAN_ARMY_SHIRT_1,
mp_top_m_a_09c,shirt14_2,0x6204007,m/mtl_mp_top_09d,m/mtl_mp_view_top_04a,s1_cao_image_top_09a_2,LOOT_NIGERIAN_ARMY_SHIRT_2,
