iw5_bal27,m/bal27_reptile,m/bal27_electricity,m/bal27_tech,m/bal27_lava,m/bal27_toxictiger,m/bal27_infected,m/bal27_tiki,m/bal27_blacklight,m/bal27_flames,m/bal27_jungle,m/bal27_trophy,m/bal27_cards,m/bal27_disco,m/bal27_xray,m/bal27_jackpot,m/bal27_blops
iw5_maul,m/maul_reptile,m/maul_electricity,m/maul_tech,m/maul_lava,m/maul_toxictiger,m/maul_infected,m/maul_tiki,m/maul_blacklight,m/maul_flames,m/maul_jungle,m/maul_trophy,m/maul_cards,m/maul_disco,m/maul_xray,m/maul_jackpot,m/maul_blops
iw5_rhino,m/rhino_reptile,m/rhino_electricity,m/rhino_tech,m/rhino_lava,m/rhino_toxictiger,m/rhino_infected,m/rhino_tiki,m/rhino_blacklight,m/rhino_flames,m/rhino_jungle,m/rhino_trophy,m/rhino_cards,m/rhino_disco,m/rhino_xray,m/rhino_jackpot,m/rhino_blops
iw5_titan45,m/titan45_reptile,m/titan45_electricity,m/titan45_tech,m/titan45_lava,m/titan45_toxictiger,m/titan45_infected,m/titan45_tiki,m/titan45_blacklight,m/titan45_flames,m/titan45_jungle,m/titan45_trophy,m/titan45_cards,m/titan45_disco,m/titan45_xray,m/titan45_jackpot,m/titan45_blops
iw5_vbr,m/vbr_reptile,m/vbr_electricity,m/vbr_tech,m/vbr_lava,m/vbr_toxictiger,m/vbr_infected,m/vbr_tiki,m/vbr_blacklight,m/vbr_flames,m/vbr_jungle,m/vbr_trophy,m/vbr_cards,m/vbr_disco,m/vbr_xray,m/vbr_jackpot,m/vbr_blops
iw5_pbw,m/mp443_reptile,m/mp443_electricity,m/mp443_tech,m/mp443_lava,,,m/mp443_tiki,m/mp443_blacklight,m/mp443_flames,m/mp443_jungle,m/mp443_trophy,m/mp443_cards,m/mp443_disco,m/mp443_xray,m/mp443_jackpot,m/mp443_blops
iw5_rw1,m/rw1_reptile,m/rw1_electricity,m/rw1_tech,m/rw1_lava,m/rw1_toxictiger,m/rw1_infected,m/rw1_tiki,m/rw1_blacklight,m/rw1_flames,m/rw1_jungle,m/rw1_trophy,m/rw1_cards,m/rw1_disco,m/rw1_xray,m/rw1_jackpot,m/rw1_blops
iw5_stingerm7,m/stingerm7_top_reptile,m/stingerm7_top_electricity,m/stingerm7_top_tech,m/stingerm7_top_lava,,,m/stingerm7_top_tiki,m/stingerm7_top_blacklight,m/stingerm7_top_flames,m/stingerm7_top_jungle,m/stingerm7_top_trophy,m/stingerm7_top_cards,m/stingerm7_top_disco,m/stingerm7_top_xray,m/stingerm7_top_jackpot,m/stingerm7_top_blops
iw5_maaws,m/maaws_reptile,m/maaws_electricity,m/maaws_tech,m/maaws_lava,,,m/maaws_tiki,m/maaws_blacklight,m/maaws_flames,m/maaws_jungle,m/maaws_trophy,m/maaws_cards,m/maaws_disco,m/maaws_xray,m/maaws_jackpot,m/maaws_blops
iw5_mahem,m/mahem_reptile,m/mahem_electricity,m/mahem_tech,m/mahem_lava,m/mahem_toxictiger,m/mahem_infected,m/mahem_tiki,m/mahem_blacklight,m/mahem_flames,m/mahem_jungle,m/mahem_trophy,m/mahem_cards,m/mahem_disco,m/mahem_xray,m/mahem_jackpot,m/mahem_blops
iw5_epm3,m/epm3_reptile,m/epm3_electricity,m/epm3_tech,m/epm3_lava,,,m/epm3_tiki,m/epm3_blacklight,m/epm3_flames,m/epm3_jungle,m/epm3_trophy,m/epm3_cards,m/epm3_disco,m/epm3_xray,m/epm3_jackpot,m/epm3_blops
iw5_microdronelauncher,m/mdl_reptile,m/mdl_electricity,m/mdl_tech,m/mdl_lava,,,m/mdl_tiki,m/mdl_blacklight,m/mdl_flames,m/mdl_jungle,m/mdl_trophy,m/mdl_cards,m/mdl_disco,m/mdl_xray,m/mdl_jackpot,m/mdl_blops
iw5_exocrossbow,m/crossbow_reptile,m/crossbow_electricity,m/crossbow_tech,m/crossbow_lava,m/crossbow_toxictiger,m/crossbow_infected,m/crossbow_tiki,m/crossbow_blacklight,m/crossbow_flames,m/crossbow_jungle,m/crossbow_trophy,m/crossbow_cards,m/crossbow_disco,m/crossbow_xray,m/crossbow_jackpot,m/crossbow_blops
iw5_dlcgun1,m/dear_reptile,m/dear_electricity,m/dear_tech,m/dear_lava,m/dear_toxictiger,m/dear_infected,m/dear_tiki,m/dear_blacklight,m/dear_flames,m/dear_jungle,m/dear_trophy,m/dear_cards,m/dear_disco,m/dear_xray,m/dear_jackpot,m/dear_blops
iw5_fusion,,,,,m/fusion_shotgun_toxictiger,m/fusion_shotgun_infected,,,,,,,,,,
iw5_dlcgun2,m/lmg_shotgun_reptile,m/lmg_shotgun_electricity,m/lmg_shotgun_tech,m/lmg_shotgun_lava,m/lmg_shotgun_toxictiger,m/lmg_shotgun_infected,m/lmg_shotgun_tiki,m/lmg_shotgun_blacklight,m/lmg_shotgun_flames,m/lmg_shotgun_jungle,m/lmg_shotgun_trophy,m/lmg_shotgun_cards,m/lmg_shotgun_disco,m/lmg_shotgun_xray,m/lmg_shotgun_jackpot,m/lmg_shotgun_blops
iw5_microwave,,,,,m/mtl_dlc2_microwave_gun_fp_01_toxictiger,m/mtl_dlc2_microwave_gun_fp_01_infected,,,,,,,,,,
iw5_dlcgun3,m/m1_irons_reptile,m/m1_irons_electricity,m/m1_irons_tech,m/m1_irons_lava,m/m1_irons_toxictiger,m/m1_irons_infected,m/m1_irons_tiki,m/m1_irons_blacklight,m/m1_irons_flames,m/m1_irons_jungle,m/m1_irons_trophy,m/m1_irons_cards,m/m1_irons_disco,m/m1_irons_xray,m/m1_irons_jackpot,m/m1_irons_blops
iw5_dlcgun5,m/sac3_reptile,m/sac3_electricity,m/sac3_tech,m/sac3_lava,m/sac3_toxictiger,m/sac3_infected,m/sac3_tiki,m/sac3_blacklight,m/sac3_flames,m/sac3_jungle,m/sac3_trophy,m/sac3_cards,m/sac3_disco,m/sac3_xray,m/sac3_jackpot,m/sac3_blops
iw5_linegun,,,,,m/line_gun_toxictiger,m/line_gun_infected,,,,,,,,,,
iw5_trident,,,,,m/trident_toxictiger,m/trident_infected,,,,,,,,,,
iw5_dlcgun4,m/blunderbuss_reptile,m/blunderbuss_electricity,m/blunderbuss_tech,m/blunderbuss_lava,m/blunderbuss_toxictiger,m/blunderbuss_infected,m/blunderbuss_tiki,m/blunderbuss_blacklight,m/blunderbuss_flames,m/blunderbuss_jungle,m/blunderbuss_trophy,m/blunderbuss_cards,m/blunderbuss_disco,m/blunderbuss_xray,m/blunderbuss_jackpot,m/blunderbuss_blops
iw5_dlcgun6,m/stg44_reptile,m/stg44_electricity,m/stg44_tech,m/stg44_lava,m/stg44_toxictiger,m/stg44_infected,m/stg44_tiki,m/stg44_blacklight,m/stg44_flames,m/stg44_jungle,m/stg44_trophy,m/stg44_cards,m/stg44_disco,m/stg44_xray,m/stg44_jackpot,m/stg44_blops
iw5_dlcgun6loot5,m/dragunov_dlc_reptile,m/dragunov_dlc_electricity,m/dragunov_dlc_tech,m/dragunov_dlc_lava,m/dragunov_dlc_toxictiger,m/dragunov_dlc_infected,m/dragunov_dlc_tiki,m/dragunov_dlc_blacklight,m/dragunov_dlc_flames,m/dragunov_dlc_jungle,m/dragunov_dlc_trophy,m/dragunov_dlc_cards,m/dragunov_dlc_disco,m/dragunov_dlc_xray,m/dragunov_dlc_jackpot,m/dragunov_dlc_blops
iw5_dlcgun7loot0,m/ak47_reptile,m/ak47_electricity,m/ak47_tech,m/ak47_lava,m/ak47_toxictiger,m/ak47_infected,m/ak47_tiki,m/ak47_blacklight,m/ak47_flames,m/ak47_jungle,m/ak47_trophy,m/ak47_cards,m/ak47_disco,m/ak47_xray,m/ak47_jackpot,m/ak47_blops
iw5_dlcgun7loot6,m/m16_reptile,m/m16_electricity,m/m16_tech,m/m16_lava,m/m16_toxictiger,m/m16_infected,m/m16_tiki,m/m16_blacklight,m/m16_flames,m/m16_jungle,m/m16_trophy,m/m16_cards,m/m16_disco,m/m16_xray,m/m16_jackpot,m/m16_blops
iw5_dlcgun8loot1,m/mp_fusion_reptile,m/mp_fusion_electricity,m/mp_fusion_tech,m/mp_fusion_lava,m/mp_fusion_toxictiger,m/mp_fusion_infected,m/mp_fusion_tiki,m/mp_fusion_blacklight,m/mp_fusion_flames,m/mp_fusion_jungle,m/mp_fusion_trophy,m/mp_fusion_cards,m/mp_fusion_disco,m/mp_fusion_xray,m/mp_fusion_jackpot,m/mp_fusion_blops
iw5_dlcgun13,m/m1911_reptile,m/m1911_electricity,m/m1911_tech,m/m1911_lava,m/m1911_toxictiger,m/m1911_infected,m/m1911_tiki,m/m1911_blacklight,m/m1911_flames,m/m1911_jungle,m/m1911_trophy,m/m1911_cards,m/m1911_disco,m/m1911_xray,m/m1911_jackpot,m/m1911_blops
iw5_dlcgun18,m/ger_mp40_dlc_reptile,m/ger_mp40_dlc_electricity,m/ger_mp40_dlc_tech,m/ger_mp40_dlc_lava,m/ger_mp40_dlc_toxictiger,m/ger_mp40_dlc_infected,m/ger_mp40_dlc_tiki,m/ger_mp40_dlc_blacklight,m/ger_mp40_dlc_flames,m/ger_mp40_dlc_jungle,m/ger_mp40_dlc_trophy,m/ger_mp40_dlc_cards,m/ger_mp40_dlc_disco,m/ger_mp40_dlc_xray,m/ger_mp40_dlc_jackpot,m/ger_mp40_dlc_blops
iw5_dlcgun23,m/m1garand_reptile,m/m1garand_electricity,m/m1garand_tech,m/m1garand_lava,,,m/m1garand_tiki,m/m1garand_blacklight,m/m1garand_flames,m/m1garand_jungle,m/m1garand_trophy,m/m1garand_cards,m/m1garand_disco,m/m1garand_xray,m/m1garand_jackpot,m/m1garand_blops
iw5_dlcgun28,m/eng_sten_dlc_reptile,m/eng_sten_dlc_electricity,m/eng_sten_dlc_tech,m/eng_sten_dlc_lava,,,m/eng_sten_dlc_tiki,m/eng_sten_dlc_blacklight,m/eng_sten_dlc_flames,m/eng_sten_dlc_jungle,m/eng_sten_dlc_trophy,m/eng_sten_dlc_cards,m/eng_sten_dlc_disco,m/eng_sten_dlc_xray,m/eng_sten_dlc_jackpot,m/eng_sten_dlc_blops
iw5_dlcgun33,m/winchester_reptile,m/winchester_electricity,m/winchester_tech,m/winchester_lava,,,m/winchester_tiki,m/winchester_blacklight,m/winchester_flames,m/winchester_jungle,m/winchester_trophy,m/winchester_cards,m/winchester_disco,m/winchester_xray,m/winchester_jackpot,m/winchester_blops
iw5_dlcgun38,m/fm4_reptile,m/fm4_electricity,m/fm4_tech,m/fm4_lava,,,m/fm4_tiki,m/fm4_blacklight,m/fm4_flames,m/fm4_jungle,m/fm4_trophy,m/fm4_cards,m/fm4_disco,m/fm4_xray,m/fm4_jackpot,m/fm4_blops
