a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,t20,,
60,orbital_strike,KILLSTREAKS_ORBITAL_STRIKE,KILLSTREAKS_ORBITAL_STRIKE_DESC,725,MP_EARNED_ORBITAL_STRIKE,ks_vulcan_earn,achieve_airstrike,airstrike,airstrike,1,killstreak_orbital_strike_mp,100,dpad_killstreak_uav_static,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,specialty_uav_crate,dpad_killstreak_uav_static,dpad_killstreak_uav,specialty_ks_null,,
62,orbital_strike_laser,KILLSTREAKS_ORBITAL_STRIKE_LASER,KILLSTREAKS_ORBITAL_STRIKE_DESC,600,MP_EARNED_ORBITAL_STRIKE,ks_vulcan_earn,ks_vulcan_achieve,vulcan,vulcan,1,killstreak_predator_missile_mp,100,scorestreak_fe_vulcan,icon_ks_odin_hud,icon_ks_odin_hud_plus1,icon_ks_odin_hud_plus2,icon_ks_odin_hud_plus3,scorestreak_fe_vulcan,scorestreak_hud_vulcan,scorestreak_hud_vulcan_lit,lethal,vulcan
66,map_killstreak,KILLSTREAKS_MAP_KILLSTREAK,KILLSTREAKS_MAP_KILLSTREAK_DESC,100,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_airstrike,null,null,0,killstreak_uav_mp,100,dpad_map_killstreak_static,dpad_map_killstreak,dpad_map_killstreak,dpad_map_killstreak,dpad_map_killstreak,dpad_map_killstreak_static,dpad_map_killstreak_inactive,specialty_ks_null,,
67,mp_prison,KILLSTREAKS_MP_PRISON,KILLSTREAKS_MP_PRISON,600,MP_EARNED_PRISON,ks_earn_generic,achieve_mp_prison,mp_prison,mp_prison,1,killstreak_uav_mp,100,scorestreak_hud_prison,dpad_killstreak_prison_overhead,scorestreak_hud_prison,scorestreak_hud_prison,scorestreak_hud_prison,scorestreak_hud_prison,scorestreak_hud_prison,scorestreak_hud_prison_lit,,
68,mp_lab2,KILLSTREAKS_MP_LAB2,KILLSTREAKS_MP_LAB2,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_lab2,mp_lab2,mp_lab2,1,killstreak_uav_mp,100,dpad_killstreak_lab2_static,dpad_killstreak_lab2,dpad_killstreak_lab2,dpad_killstreak_lab2,dpad_killstreak_lab2,dpad_killstreak_lab2_static,dpad_killstreak_lab2_inactive,specialty_ks_null,,
69,mp_solar,KILLSTREAKS_MP_SOLAR,KILLSTREAKS_MP_SOLAR_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_slr_achieve,mp_slr,mp_slr,1,killstreak_predator_missile_mp,100,dpad_killstreak_solar_static,dpad_killstreak_solar_static,dpad_killstreak_solar_static,dpad_killstreak_solar_static,dpad_killstreak_solar_static,dpad_killstreak_solar_static,dpad_killstreak_solar_inactive,dpad_killstreak_solar,,
70,mp_laser2,KILLSTREAKS_MP_LASER2,KILLSTREAKS_MP_LASER2_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_lsr_achieve,mp_lsr,mp_lsr,1,killstreak_uav_mp,100,dpad_killstreak_laser2_static,dpad_killstreak_laser2_overhead,dpad_killstreak_laser2,dpad_killstreak_laser2,dpad_killstreak_laser2,dpad_killstreak_laser2_static,dpad_killstreak_laser2_inactive,dpad_killstreak_laser2,,
71,mp_dam,KILLSTREAKS_MP_DAM,KILLSTREAKS_MP_DAM_DESC,800,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_dam_achieve,mp_dam,mp_dam,1,killstreak_predator_missile_mp,100,dpad_killstreak_dam_static,dpad_killstreak_dam_static,dpad_killstreak_dam_static,dpad_killstreak_dam_static,dpad_killstreak_dam_static,dpad_killstreak_dam_static,dpad_killstreak_dam_inactive,dpad_killstreak_dam,,
73,mp_refraction,KILLSTREAKS_MP_REFRACTION,KILLSTREAKS_MP_REFRACTION_DESC,1200,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_ref_achieve,mp_ref,mp_ref,1,killstreak_refraction_mp,100,dpad_killstreak_refraction_static,dpad_killstreak_refraction_overhead,dpad_killstreak_refraction_overhead,dpad_killstreak_refraction_overhead,dpad_killstreak_refraction_overhead,dpad_killstreak_refraction_static,dpad_killstreak_refraction_inactive,dpad_killstreak_refraction,,
74,warbird,KILLSTREAKS_WARBIRD,KILLSTREAKS_WARBIRD_DESC,850,MP_EARNED_WARBIRD,ks_earn_warbird,ks_warbird_achieve,warbird,warbird,1,killstreak_predator_missile_mp,100,scorestreak_fe_warbird,dpad_killstreak_warbird,dpad_killstreak_warbird_plus1,dpad_killstreak_warbird_plus2,dpad_killstreak_warbird_plus3,scorestreak_fe_warbird,scorestreak_hud_warbird,scorestreak_hud_warbird_lit,lethal,
75,mp_torqued,KILLSTREAKS_MP_TORQUED,KILLSTREAKS_MP_TORQUED_DESC,500,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_torqued,mp_torqued,mp_torqued,1,killstreak_uav_mp,100,dpad_killstreak_torqued_static,dpad_killstreak_torqued,dpad_killstreak_torqued,dpad_killstreak_torqued,dpad_killstreak_torqued,dpad_killstreak_torqued_static,dpad_killstreak_torqued_inactive,specialty_ks_null,,
76,orbitalsupport,KILLSTREAKS_ORBITALSUPPORT,KILLSTREAKS_ORBITALSUPPORT_DESC,950,MP_EARNED_ORBITALSUPPORT,ks_paladin_earn,ks_paladin_achieve,paladin,paladin,1,killstreak_predator_missile_mp,100,scorestreak_fe_paladin,scorestreak_cp_paladin,scorestreak_cp_paladin1,scorestreak_cp_paladin2,scorestreak_cp_paladin3,scorestreak_fe_paladin,scorestreak_hud_paladin,scorestreak_hud_paladin_lit,lethal,paladin
77,mp_instinct,KILLSTREAKS_MP_INSTINCT,KILLSTREAKS_MP_INSTINCT_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_instinct,mp_instinct,mp_instinct,1,killstreak_instinct_mp,100,dpad_killstreak_instinct_static,dpad_killstreak_instinct,dpad_killstreak_instinct,dpad_killstreak_instinct,dpad_killstreak_instinct,dpad_killstreak_instinct_static,dpad_killstreak_instinct_inactive,specialty_ks_null,,
78,recon_ugv,KILLSTREAKS_RECON_UGV,KILLSTREAKS_RECON_UGV_DESC,350,MP_EARNED_RECON_UGV,ks_recon_drn_earn,ks_recdrone_achieve,recdrone,recdrone,1,killstreak_predator_missile_mp,100,scorestreak_fe_recon_uav,scorestreak_cp_recon_uav,scorestreak_cp_recon_uav1,scorestreak_cp_recon_uav2,scorestreak_cp_recon_uav3,scorestreak_fe_recon_uav,scorestreak_hud_recon_uav,scorestreak_hud_recon_uav_lit,support,
79,mp_odium,KILLSTREAKS_MP_ODIUM,KILLSTREAKS_MP_ODIUM_DESC,5000,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_odium,mp_odium,mp_odium,1,killstreak_odium_mp,100,dpad_killstreak_nuke,dpad_killstreak_nuke,dpad_killstreak_nuke,dpad_killstreak_nuke,dpad_killstreak_nuke,dpad_killstreak_nuke,dpad_killstreak_nuke,specialty_ks_null,,
80,orbital_carepackage,KILLSTREAKS_ORBITAL_CAREPACKAGE,KILLSTREAKS_ORBITAL_CAREPACKAGE_DESC,500,MP_EARNED_ORBITAL_CAREPACKAGE,ks_drone_cpkg_earn,ks_orbitalpkg_achieve,carepkg,carepkg,1,killstreak_uav_mp,100,scorestreak_fe_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,scorestreak_fe_carepackage,scorestreak_hud_carepackage,scorestreak_hud_carepackage_lit,support,
81,mp_recreation,KILLSTREAKS_MP_RECREATION,KILLSTREAKS_MP_RECREATION_DESC,2000,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_recreation,mp_recreation,mp_recreation,1,killstreak_recreation_mp,100,dpad_killstreak_recreation_static,dpad_killstreak_recreation,dpad_killstreak_recreation,dpad_killstreak_recreation,dpad_killstreak_recreation,dpad_killstreak_recreation_static,dpad_killstreak_recreation_inactive,specialty_ks_null,,
82,missile_strike,KILLSTREAKS_MISSILE_STRIKE,KILLSTREAKS_MISSILE_STRIKE_DESC,650,MP_EARNED_MISSILE_STRIKE,ks_mstrike_earn,ks_missilestrike_achieve,missilestrike,missilestrike,1,killstreak_predator_missile_mp,100,scorestreak_fe_missile_strike,scorestreak_cp_missile_strike,scorestreak_cp_missile_strike1,scorestreak_cp_missile_strike2,scorestreak_cp_missile_strike3,scorestreak_fe_missile_strike,scorestreak_hud_missile_strike,scorestreak_hud_missile_strike_lit,lethal,
83,assault_ugv,KILLSTREAKS_ASSAULT_DRONE_UAV,KILLSTREAKS_ASSAULT_DRONE_UAV_DESC,450,MP_EARNED_GROUND_ASSAULT_DRONE,ks_assault_drn_earn,ks_adrone_achieve,adrone,adrone,1,killstreak_predator_missile_mp,100,scorestreak_fe_assault_drone,scorestreak_cp_assault_drone,scorestreak_cp_assault_drone1,scorestreak_cp_assault_drone2,scorestreak_cp_assault_drone3,scorestreak_fe_assault_drone,scorestreak_hud_assault_drone,scorestreak_hud_assault_drone_lit,lethal,assault_drone
84,heavy_exosuit,KILLSTREAKS_HEAVY_EXO,KILLSTREAKS_HEAVY_EXO_DESC,775,MP_EARNED_HEAVY_EXO,ks_goliath_earn,ks_goliath_achieve,goliath,goliath,1,killstreak_uav_mp,100,scorestreak_fe_goliath,icon_ks_jugg_recon_hud,icon_ks_jugg_recon_hud_plus1,icon_ks_jugg_recon_hud_plus2,icon_ks_jugg_recon_hud_plus3,scorestreak_fe_goliath,scorestreak_hud_goliath,scorestreak_hud_goliath_lit,lethal,goliath
85,remote_mg_sentry_turret,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,550,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,ks_sentrygun_achieve,ks_sentrygun_allyuse,ks_sentrygun_enemyuse,1,airdrop_sentry_marker_mp,100,scorestreak_fe_turret,scorestreak_cp_turret,scorestreak_cp_turret1,scorestreak_cp_turret2,scorestreak_cp_turret3,scorestreak_fe_turret,scorestreak_hud_turret,scorestreak_hud_turret_lit,lethal,sentry_gun
87,drone_carepackage,KILLSTREAKS_DRONE_CAREPACKAGE,KILLSTREAKS_DRONE_CAREPACKAGE_DESC,500,MP_EARNED_DRONE_CAREPACKAGE,ks_drone_cpkg_earn,ks_dronepkg_achieve,carepkg,carepkg,0,killstreak_uav_mp,100,dpad_killstreak_orbital_carepackage_static,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage,dpad_killstreak_orbital_carepackage_static,dpad_killstreak_orbital_carepackage_inactive,specialty_ks_null,,
88,next_gen_exo,KILLSTREAKS_NEXT_GEN_EXO,KILLSTREAKS_NEXT_GEN_EXO_DESC,500,MP_EARNED_NEXT_GEN_EXO,ks_earn_generic,achieve_juggernaut,null,null,0,deployable_vest_marker_mp,100,dpad_killstreak_airdrop_juggernaut_static,specialty_juggernaut_crate,specialty_juggernaut_crate,specialty_juggernaut_crate,specialty_juggernaut_crate,dpad_killstreak_airdrop_juggernaut_static,dpad_killstreak_airdrop_juggernaut_inactive,specialty_ks_null,,
89,strafing_run_airstrike,KILLSTREAKS_STRAFING_RUN_AIRSTRIKE,KILLSTREAKS_STRAFING_RUN_AIRSTRIKE_DESC,725,MP_EARNED_STRAFING_RUN_AIRSTRIKE,ks_bombrun_earn,ks_straf_achieve,straf,straf,1,killstreak_air_strike_mp,100,scorestreak_fe_strafe_run,scorestreak_cp_strafe_run,scorestreak_cp_strafe_run1,scorestreak_cp_strafe_run2,scorestreak_cp_strafe_run3,scorestreak_fe_strafe_run,scorestreak_hud_strafe_run,scorestreak_hud_strafe_run_lit,lethal,strafing_run
91,mp_detroit,MP_DETROIT_MAP_KILLSTREAK,MP_DETROIT_MAP_KILLSTREAK_DESC,1200,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_det_achieve,mp_det,mp_det,1,killstreak_predator_missile_mp,100,dpad_killstreak_detroit_static,dpad_killstreak_detroit_static,dpad_killstreak_detroit_static,dpad_killstreak_detroit_static,dpad_killstreak_detroit_static,dpad_killstreak_detroit_static,dpad_killstreak_detroit_inactive,dpad_killstreak_detroit,,
92,mp_terrace,MP_TERRACE_MAP_KILLSTREAK,MP_TERRACE_MAP_KILLSTREAK_DESC,1200,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_trc_achieve,mp_trc,mp_trc,1,killstreak_predator_missile_mp,100,dpad_killstreak_terrace_static,dpad_killstreak_terrace_static,dpad_killstreak_terrace_static,dpad_killstreak_terrace_static,dpad_killstreak_terrace_static,dpad_killstreak_terrace_static,dpad_killstreak_terrace_inactive,dpad_killstreak_terrace,,
93,mp_recovery,MP_RECOVERY_MAP_KILLSTREAK_DESC,MP_RECOVERY_MAP_KILLSTREAK_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,achieve_mp_recovery,mp_recovery,mp_recovery,1,killstreak_recovery_mp,100,dpad_killstreak_recovery_static,dpad_killstreak_recovery,dpad_killstreak_recovery,dpad_killstreak_recovery,dpad_killstreak_recovery,dpad_killstreak_recovery_static,dpad_killstreak_recovery_inactive,specialty_ks_null,,
94,mp_comeback,MP_COMEBACK_MAP_KILLSTREAK,MP_COMEBACK_MAP_KILLSTREAK_DESC,1200,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_cbk_achieve,mp_cbk,mp_cbk,1,killstreak_predator_missile_mp,100,dpad_killstreak_comeback_static,dpad_killstreak_comeback_static,dpad_killstreak_comeback_static,dpad_killstreak_comeback_static,dpad_killstreak_comeback_static,dpad_killstreak_comeback_static,dpad_killstreak_comeback_inactive,dpad_killstreak_comeback,,
95,airdrop_reinforcement_common,KILLSTREAKS_ORBITAL_CAREPACKAGE,KILLSTREAKS_ORBITAL_CAREPACKAGE_DESC,400,MP_EARNED_ORBITAL_CAREPACKAGE,mp_loot_earn,achieve_mp_carepackage,mp_carepackage,mp_carepackage,1,killstreak_uav_mp,100,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_hud_carepackage,scorestreak_hud_carepackage_lit,,
96,airdrop_reinforcement_uncommon,KILLSTREAKS_ORBITAL_CAREPACKAGE,KILLSTREAKS_ORBITAL_CAREPACKAGE_DESC,400,MP_EARNED_ORBITAL_CAREPACKAGE,mp_loot_earn,achieve_mp_carepackage,mp_carepackage,mp_carepackage,1,killstreak_uav_mp,100,scorestreak_fe_reinforcement_uncommon,scorestreak_fe_reinforcement_uncommon,scorestreak_fe_reinforcement_uncommon,scorestreak_fe_reinforcement_uncommon,scorestreak_fe_reinforcement_uncommon,scorestreak_fe_reinforcement_uncommon,scorestreak_hud_carepackage,scorestreak_hud_carepackage_lit,,
97,airdrop_reinforcement_rare,KILLSTREAKS_ORBITAL_CAREPACKAGE,KILLSTREAKS_ORBITAL_CAREPACKAGE_DESC,400,MP_EARNED_ORBITAL_CAREPACKAGE,mp_loot_earn,achieve_mp_carepackage,mp_carepackage,mp_carepackage,1,killstreak_uav_mp,100,scorestreak_fe_reinforcement_rare,scorestreak_fe_reinforcement_rare,scorestreak_fe_reinforcement_rare,scorestreak_fe_reinforcement_rare,scorestreak_fe_reinforcement_rare,scorestreak_fe_reinforcement_rare,scorestreak_hud_carepackage,scorestreak_hud_carepackage_lit,,
98,airdrop_reinforcement_practice,KILLSTREAKS_ORBITAL_CAREPACKAGE,KILLSTREAKS_ORBITAL_CAREPACKAGE_DESC,400,MP_EARNED_ORBITAL_CAREPACKAGE,mp_loot_earn,achieve_mp_carepackage,mp_carepackage,mp_carepackage,1,killstreak_uav_mp,100,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_fe_reinforcement_common,scorestreak_hud_carepackage,scorestreak_hud_carepackage_lit,,
99,ripped_turret,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,600,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,mp_sentrygun_achieve,null,null,0,killstreak_uav_mp,100,scorestreak_fe_turret,scorestreak_cp_turret,scorestreak_cp_turret1,scorestreak_cp_turret2,scorestreak_cp_turret3,scorestreak_fe_turret,scorestreak_hud_turretripped,scorestreak_hud_turretripped_lit,,
100,mp_lost,KILLSTREAKS_ASSAULT_DRONE_UAV,KILLSTREAKS_ASSAULT_DRONE_UAV_DESC,600,MP_EARNED_GROUND_ASSAULT_DRONE,ks_assault_drn_earn,ks_mp_lost_achieve,mp_lost,mp_lost,1,iw5_dlcgun12loot6_mp,100,dpad_killstreak_lost_static,dpad_killstreak_lost_static,dpad_killstreak_lost_static,dpad_killstreak_lost_static,dpad_killstreak_lost_static,dpad_killstreak_lost_static,dpad_killstreak_lost_inactive,dpad_killstreak_lost,lethal,cleaning_drone
101,zm_camouflage,ZOMBIES_KS_CAMO,KILLSTREAKS_NONE_DESC,999,MP_EARNED_UAV,zmb_ss_camo_acquire,ks_uav_achieve,uav,uav,1,killstreak_uav_mp,100,hud_carepkg_world_cammo,hud_carepkg_world_cammo,hud_carepkg_world_cammo,hud_carepkg_world_cammo,hud_carepkg_world_cammo,hud_carepkg_world_cammo,hud_carepkg_badge_cammo,hud_carepkg_badge_cammo,support,
102,zm_sentry,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,550,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,ks_sentrygun_achieve,ks_sentrygun_allyuse,ks_sentrygun_enemyuse,1,airdrop_sentry_marker_mp,100,hud_carepkg_world_turret,hud_carepkg_world_turret,hud_carepkg_world_turret,hud_carepkg_world_turret,hud_carepkg_world_turret,hud_carepkg_world_turret,hud_carepkg_badge_turret,hud_carepkg_badge_turret,lethal,sentry_gun
103,zm_ugv,KILLSTREAKS_ASSAULT_DRONE_UAV,KILLSTREAKS_ASSAULT_DRONE_UAV_DESC,450,MP_EARNED_GROUND_ASSAULT_DRONE,ks_assault_drn_earn,ks_adrone_achieve,adrone,adrone,1,killstreak_predator_missile_mp,100,hud_carepkg_world_drone,hud_carepkg_world_drone,hud_carepkg_world_drone,hud_carepkg_world_drone,hud_carepkg_world_drone,hud_carepkg_world_drone,hud_carepkg_badge_drone,hud_carepkg_badge_drone,lethal,assault_drone
104,zm_ripped_turret,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,600,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,mp_sentrygun_achieve,null,null,0,killstreak_uav_mp,100,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,hud_carepkg_badge_turret_ripped,,
105,mp_blackbox,KILLSTREAKS_MP_BLACKBOX,KILLSTREAKS_MP_BLACKBOX_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_blackbox_achieve,mp_blackbox,mp_blackbox,1,iw5_dlcgun12loot4_mp,100,dpad_killstreak_blackbox_static,dpad_killstreak_blackbox_static,dpad_killstreak_blackbox,dpad_killstreak_laser2,dpad_killstreak_blackbox,dpad_killstreak_blackbox_static,dpad_killstreak_blackbox_inactive,dpad_killstreak_blackbox,,
106,mp_spark,MP_SPARK_MAP_KILLSTREAK,MP_SPARK_MAP_KILLSTREAK_DESC,550,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,spa_ks_obtain,mp_spa,mp_spa,1,airdrop_sentry_marker_mp,100,scorestreak_fe_disruptor_turret,scorestreak_cp_disruptorturret,scorestreak_cp_disruptorturret,scorestreak_cp_disruptorturret,scorestreak_cp_disruptorturret,scorestreak_fe_disruptor_turret,scorestreak_hud_disruptor_turret,scorestreak_hud_disruptor_turret_lit,lethal,sentry_gun
107,zm_squadmate,RANGED_ELITE_SOLDIER_KS_SQUADMATE,KILLSTREAKS_NONE_DESC,999,MP_EARNED_UAV,zmb_ss_camo_acquire,ks_uav_achieve,uav,uav,1,killstreak_uav_mp,100,hud_carepkg_world_squadmate,hud_carepkg_world_squadmate,hud_carepkg_world_squadmate,hud_carepkg_world_squadmate,hud_carepkg_world_squadmate,hud_carepkg_world_squadmate,hud_carepkg_badge_squadmate,hud_carepkg_badge_squadmate,lethal,
108,mp_bigben2,MP_BIGBEN2_MAP_KILLSTREAK,MP_BIGBEN2_MAP_KILLSTREAK_DESC,600,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_bigben2_achieve,mp_bigben2,mp_bigben2,1,killstreak_predator_missile_mp,100,dpad_killstreak_bigben_static,dpad_killstreak_bigben_overhead,dpad_killstreak_bigben_overhead,dpad_killstreak_bigben_overhead,dpad_killstreak_bigben_overhead,dpad_killstreak_bigben_overhead,dpad_killstreak_bigben_inactive,dpad_killstreak_bigben,,
109,zm_disruptor,ZOMBIE_ARK_KS_DISRUPTOR_TURRET,KILLSTREAKS_NONE_DESC,550,MP_EARNED_REMOTE_MG_TURRET,ks_earn_sentrygun,spa_ks_obtain,mp_spa,mp_spa,1,airdrop_sentry_marker_mp,100,hud_carepkg_world_repulsionturret,hud_carepkg_world_repulsionturret,hud_carepkg_world_repulsionturret,hud_carepkg_world_repulsionturret,hud_carepkg_world_repulsionturret,hud_carepkg_world_repulsionturret,hud_carepkg_badge_repulsionturret,hud_carepkg_badge_repulsionturret,lethal,sentry_gun
110,mp_seoul2,MP_SEOUL2_MAP_KILLSTREAK,MP_SEOUL2_MAP_KILLSTREAK_DESC,950,MP_EARNED_MAP_KILLSTREAK,ks_earn_generic,ks_mp_se2_achieve,mp_se2,mp_se2,1,killstreak_predator_missile_mp,100,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_static,dpad_killstreak_seoul2_inactive,dpad_killstreak_seoul2,lethal,
111,zm_goliath_suit,KILLSTREAKS_HEAVY_EXO,KILLSTREAKS_HEAVY_EXO_DESC,775,MP_EARNED_HEAVY_EXO,ks_goliath_earn,ks_goliath_achieve,goliath,goliath,1,killstreak_uav_mp,100,scorestreak_fe_goliath,hud_carepkg_world_goliath,hud_carepkg_world_goliath,hud_carepkg_world_goliath,hud_carepkg_world_goliath,scorestreak_fe_goliath,scorestreak_hud_goliath,scorestreak_hud_goliath_lit,lethal,goliath
