model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,productionLevel
mp_top_m_01b,shirt,18,19,1,,mp_top_m_01b_lob,mp_view_top_01_en,,,!female,,,,,,,,
mp_top_f_01b,shirt,18,19,1,,mp_top_f_01b_lob,mp_view_top_01_en,,,female,,,,,,,,
mp_top_f_19bomb,shirt,19,20,1,,mp_top_f_19bomb_lob,mp_view_top_05bomb,m/mtl_mp_top_19bomb,m/mtl_mp_view_top_05bomb,female,,,,,,,,
mp_top_m_19bomb,shirt,19,20,1,,mp_top_m_19bomb_lob,mp_view_top_05bomb,m/mtl_mp_top_19bomb,m/mtl_mp_view_top_05bomb,!female,,,,,,,,
mp_top_m_31a,shirt,20,21,1,,mp_top_m_31a_lob,mp_view_top_30a,m/mtl_mp_top_31a,m/mtl_mp_view_top_30a,female,,,,,,,,
mp_top_m_31a,shirt,20,21,1,,mp_top_m_31a_lob,mp_view_top_30a,m/mtl_mp_top_31a,m/mtl_mp_view_top_30a,!female,,,,,,,,
mp_head_cormack,head,1,1,0,none,mp_head_cormack_lob,,,,!fullmask,,,,,,,,
mp_head_clark,head,2,2,0,,mp_head_clark_lob,,,,!fullmask,,,,,,,,
mp_head_barton,head,3,3,0,,mp_head_barton_lob,,,,!helmet,!fullmask,!eyewear,,,,,,
mp_head_barton_nh,head,3,3,0,,mp_head_barton_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_barton_nh,head,3,3,0,,mp_head_barton_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_hanks,head,4,4,0,,mp_head_hanks_lob,,,,!fullmask,,,,,,,,
mp_head_chen,head,5,5,0,,mp_head_chen_lob,,,,!fullmask,,,,,,,,
mp_head_kva,head,6,6,0,,mp_head_kva_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_kva_nh,head,6,6,0,,mp_head_kva_nh_lob,,,,!fullmask,helmet,,,,,,,
mp_head_kva_nh,head,6,6,0,,mp_head_kva_nh_lob,,,,!fullmask,eyewear,,,,,,,
mp_head_kang,head,7,7,0,,mp_head_kang_lob,,,,!fullmask,,,,,,,,
mp_head_gideon,head,8,8,0,,mp_head_gideon_lob,,,,!helmet,!fullmask,!eyewear,,,,,,
mp_head_gideon_nh,head,8,8,0,,mp_head_gideon_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_gideon_nh,head,8,8,0,,mp_head_gideon_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_martin,head,9,9,0,,mp_head_martin_lob,,,,!helmet,!fullmask,!eyewear,,,,,,
mp_head_martin_nh,head,9,9,0,,mp_head_martin_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_martin_nh,head,9,9,0,,mp_head_martin_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_waters,head,10,10,0,,mp_head_waters_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_waters_nh,head,10,10,0,,mp_head_waters_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_waters_nh,head,10,10,0,,mp_head_waters_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_lee,head,11,11,0,,mp_head_lee_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_lee_nh,head,11,11,0,,mp_head_lee_nh_lob,,,,!fullmask,helmet,,,,,,,
mp_head_lee_nh,head,11,11,0,,mp_head_lee_nh_lob,,,,!fullmask,eyewear,,,,,,,
mp_head_coyle,head,12,12,0,,mp_head_coyle_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_coyle_nh,head,12,12,0,,mp_head_coyle_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_coyle_nh,head,12,12,0,,mp_head_coyle_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_young,head,13,13,0,,mp_head_young_lob,,,,!fullmask,,,,,,,,
mp_head_pas,head,14,14,0,,mp_head_pas_lob,,,,!helmet,!fullmask,!eyewear,,,,,,
mp_head_pas_nh,head,14,14,0,,mp_head_pas_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_pas_nh,head,14,14,0,,mp_head_pas_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_basara,head,15,15,0,,mp_head_basara_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_basara_nh,head,15,15,0,,mp_head_basara_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_basara_nh,head,15,15,0,,mp_head_basara_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_gots,head,16,16,0,,mp_head_gots_lob,,,,!fullmask,!helmet,!eyewear,,,,,,
mp_head_gots_nh,head,16,16,0,,mp_head_gots_nh_lob,,,,helmet,!fullmask,,,,,,,
mp_head_gots_nh,head,16,16,0,,mp_head_gots_nh_lob,,,,eyewear,!fullmask,,,,,,,
mp_head_davis,head,17,17,0,,mp_head_davis_lob,,,,!fullmask,,,,,,,,
mp_head_pas_x,head,18,18,0,,mp_head_pas_x_lob,,,,!fullmask,,,,,,,,
mp_pants_m_01b_k,pants,1,1,1,none,mp_pants_m_01b_k_lob,,m/mtl_mp_pants_01b_k,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_01b_k,pants,1,1,1,,mp_pants_f_01b_k_lob,,m/mtl_mp_pants_01b_k,,kneepads,!shinguard,female,,,,,,
mp_pants_f_03b_p,pants,1,1,1,,mp_pants_f_03b_p_lob,,m/mtl_mp_pants_01b_k,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_07b_s,pants,1,1,1,,mp_pants_f_07b_s_lob,,m/mtl_mp_pants_01b_k,,!kneepads,shinguard,female,,,,,,
mp_pants_m_03b_p,pants,1,1,1,,mp_pants_m_03b_p_lob,,m/mtl_mp_pants_01b_k,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_07b_s,pants,1,1,1,,mp_pants_m_07b_s_lob,,m/mtl_mp_pants_01b_k,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_02a_p,pants,2,2,1,,mp_pants_f_02a_p_lob,,m/mtl_mp_pants_02a_p,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_05a_k,pants,2,2,1,,mp_pants_f_05a_k_lob,,m/mtl_mp_pants_05a_k,,kneepads,!shinguard,female,,,,,,
mp_pants_f_06a_s,pants,2,2,1,,mp_pants_f_06a_s_lob,,m/mtl_mp_pants_06a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_m_02a_p,pants,2,2,1,,mp_pants_m_02a_p_lob,,m/mtl_mp_pants_02a_p,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_05a_k,pants,2,2,1,,mp_pants_m_05a_k_lob,,m/mtl_mp_pants_05a_k,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_06a_s,pants,2,2,1,,mp_pants_m_06a_s_lob,,m/mtl_mp_pants_06a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_16a_s,pants,3,3,1,,mp_pants_f_16a_s_lob,,m/mtl_mp_pants_16a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_f_17a_p,pants,3,3,1,,mp_pants_f_17a_p_lob,,m/mtl_mp_pants_17a_p,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_18a_k,pants,3,3,1,,mp_pants_f_18a_k_lob,,m/mtl_mp_pants_18a_k,,kneepads,!shinguard,female,,,,,,
mp_pants_m_16a_s,pants,3,3,1,,mp_pants_m_16a_s_lob,,m/mtl_mp_pants_16a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_17a_p,pants,3,3,1,,mp_pants_m_17a_p_lob,,m/mtl_mp_pants_17a_p,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_18a_k,pants,3,3,1,,mp_pants_m_18a_k_lob,,m/mtl_mp_pants_18a_k,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_19a_s,pants,4,4,1,,mp_pants_f_19a_s_lob,,m/mtl_mp_pants_19a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_f_20a_p,pants,4,4,1,,mp_pants_f_20a_p_lob,,m/mtl_mp_pants_20a_p,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_21a_k,pants,4,4,1,,mp_pants_f_21a_k_lob,,m/mtl_mp_pants_21a_k,,kneepads,!shinguard,female,,,,,,
mp_pants_m_19a_s,pants,4,4,1,,mp_pants_m_19a_s_lob,,m/mtl_mp_pants_19a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_20a_p,pants,4,4,1,,mp_pants_m_20a_p_lob,,m/mtl_mp_pants_20a_p,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_21a_k,pants,4,4,1,,mp_pants_m_21a_k_lob,,m/mtl_mp_pants_21a_k,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_75a_k,pants,5,8,1,,mp_pants_f_75a_k_lob,,m/mtl_mp_pants_75a,,kneepads,!shinguard,female,,,,,,
mp_pants_f_75a_p,pants,5,8,1,,mp_pants_f_75a_p_lob,,m/mtl_mp_pants_75a,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_75a_s,pants,5,8,1,,mp_pants_f_75a_s_lob,,m/mtl_mp_pants_75a,,!kneepads,female,shinguard,,,,,,
mp_pants_m_75a_k,pants,5,8,1,,mp_pants_m_75a_k_lob,,m/mtl_mp_pants_75a,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_75a_p,pants,5,8,1,,mp_pants_m_75a_p_lob,,m/mtl_mp_pants_75a,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_75a_s,pants,5,8,1,,mp_pants_m_75a_s_lob,,m/mtl_mp_pants_75a,,!kneepads,!female,shinguard,,,,,,
mp_pants_f_13a_s,pants,6,9,1,,mp_pants_f_13a_s_lob,,m/mtl_mp_pants_13a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_f_14a_p,pants,6,9,1,,mp_pants_f_14a_p_lob,,m/mtl_mp_pants_14a_p,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_15a_k,pants,6,9,1,,mp_pants_f_15a_k_lob,,m/mtl_mp_pants_15a_k,,kneepads,!shinguard,female,,,,,,
mp_pants_m_13a_s,pants,6,9,1,,mp_pants_m_13a_s_lob,,m/mtl_mp_pants_13a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_14a_p,pants,6,9,1,,mp_pants_m_14a_p_lob,,m/mtl_mp_pants_14a_p,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_15a_k,pants,6,9,1,,mp_pants_m_15a_k_lob,,m/mtl_mp_pants_15a_k,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_04a_s,pants,7,12,1,,mp_pants_f_04a_s_lob,,m/mtl_mp_pants_04a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_f_08a_p,pants,7,12,1,,mp_pants_f_08a_p_lob,,m/mtl_mp_pants_04a_s,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_09a_k,pants,7,12,1,,mp_pants_f_09a_k_lob,,m/mtl_mp_pants_04a_s,,kneepads,!shinguard,female,,,,,,
mp_pants_m_04a_s,pants,7,12,1,,mp_pants_m_04a_s_lob,,m/mtl_mp_pants_04a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_08a_p,pants,7,12,1,,mp_pants_m_08a_p_lob,,m/mtl_mp_pants_04a_s,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_09a_k,pants,7,12,1,,mp_pants_m_09a_k_lob,,m/mtl_mp_pants_04a_s,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_10a_s,pants,8,13,1,,mp_pants_f_10a_s_lob,,m/mtl_mp_pants_10a_s,,!kneepads,shinguard,female,,,,,,
mp_pants_f_11a_p,pants,8,13,1,,mp_pants_f_11a_p_lob,,m/mtl_mp_pants_10a_s,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_12a_k,pants,8,13,1,,mp_pants_f_12a_k_lob,,m/mtl_mp_pants_10a_s,,kneepads,!shinguard,female,,,,,,
mp_pants_m_10a_s,pants,8,13,1,,mp_pants_m_10a_s_lob,,m/mtl_mp_pants_10a_s,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_11a_p,pants,8,13,1,,mp_pants_m_11a_p_lob,,m/mtl_mp_pants_10a_s,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_12a_k,pants,8,13,1,,mp_pants_m_12a_k_lob,,m/mtl_mp_pants_10a_s,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_76a_k,pants,9,14,1,,mp_pants_f_76a_k_lob,,m/mtl_mp_pants_76b,,kneepads,!shinguard,female,,,,,,
mp_pants_f_76a_p,pants,9,14,1,,mp_pants_f_76a_p_lob,,m/mtl_mp_pants_76b,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_76a_s,pants,9,14,1,,mp_pants_f_76a_s_lob,,m/mtl_mp_pants_76b,,!kneepads,shinguard,female,,,,,,
mp_pants_m_76a_k,pants,9,14,1,,mp_pants_m_76a_k_lob,,m/mtl_mp_pants_76b,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_76a_p,pants,9,14,1,,mp_pants_m_76a_p_lob,,m/mtl_mp_pants_76b,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_76a_s,pants,9,14,1,,mp_pants_m_76a_s_lob,,m/mtl_mp_pants_76b,,!kneepads,shinguard,!female,,,,,,
mp_pants_f_10w_s,pants,10,15,1,,mp_pants_f_10w_s_lob,,m/mtl_mp_pants_10w,,!kneepads,shinguard,female,,,,,,
mp_pants_f_11w_p,pants,10,15,1,,mp_pants_f_11w_p_lob,,m/mtl_mp_pants_10w,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_12w_k,pants,10,15,1,,mp_pants_f_12w_k_lob,,m/mtl_mp_pants_10w,,kneepads,!shinguard,female,,,,,,
mp_pants_m_10w_s,pants,10,15,1,,mp_pants_m_10w_s_lob,,m/mtl_mp_pants_10w,,!kneepads,shinguard,!female,,,,,,
mp_pants_m_11w_p,pants,10,15,1,,mp_pants_m_11w_p_lob,,m/mtl_mp_pants_10w,,!kneepads,!shinguard,!female,,,,,,
mp_pants_m_12w_k,pants,10,15,1,,mp_pants_m_12w_k_lob,,m/mtl_mp_pants_10w,,kneepads,!shinguard,!female,,,,,,
mp_pants_m_01x_k,pants,11,16,1,none,mp_pants_m_01x_k_lob,,m/mtl_mp_pants_01x,,kneepads,!shinguard,!female,,,,,,
mp_pants_f_01x_k,pants,11,16,1,,mp_pants_f_01x_k_lob,,m/mtl_mp_pants_01x,,kneepads,!shinguard,female,,,,,,
mp_pants_f_03x_p,pants,11,16,1,,mp_pants_f_03x_p_lob,,m/mtl_mp_pants_01x,,!kneepads,!shinguard,female,,,,,,
mp_pants_f_07x_s,pants,11,16,1,,mp_pants_f_07x_s_lob,,m/mtl_mp_pants_01x,,!kneepads,shinguard,female,,,,,,
