col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
ch_marksman_iw5_exoxmg,CHALLENGE_MARKSMAN_EXOWEAPON,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_exoxmg,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,40,,,,0x100013D,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_riotshieldt6,CHALLENGE_MARKSMAN_RIOTSHIELD,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_riotshield,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,41,,,,0x1000196,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_microdronelauncher,CHALLENGE_MARKSMAN_DRONE_LAUNCHER,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_microdrone,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,42,,,,0x10000D9,,,,,,,,,,,ch_marksman_primary_master,
ch_marksman_iw5_exocrossbow,CHALLENGE_MARKSMAN_CROSSBOW,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_exocrossbow,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,43,,,,0x1000136,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_titan45,CHALLENGE_MARKSMAN_ATLAS45,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_titan45,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,44,,,,0x1000078,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_vbr,CHALLENGE_MARKSMAN_VBR,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_vbr,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,45,,,,0x10000B6,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_pbw,CHALLENGE_MARKSMAN_MP443,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_pbw,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,46,,,,0x1000094,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_rw1,CHALLENGE_MARKSMAN_RW1,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_rw1,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,47,,,,0x100016A,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_stingerm7,CHALLENGE_MARKSMAN_STINGER,CHALLENGE_MARKSMAN_LAUNCHER_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_stingerm7,0,,,5,500,10,1000,15,1500,25,2500,50,5000,,,,,,,,,48,,,,0x10000D5,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_maaws,CHALLENGE_MARKSMAN_MAAWS,CHALLENGE_MARKSMAN_LAUNCHER_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_maaws,0,,,5,500,10,1000,15,1500,25,2500,50,5000,,,,,,,,,49,,,,0x10000D1,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_mahem,CHALLENGE_MARKSMAN_MAHEM,CHALLENGE_MARKSMAN_LAUNCHER_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_mahem,0,,,5,500,10,1000,15,1500,25,2500,50,5000,,,,,,,,,50,,,,0x1000157,,,,,,,,,,,ch_marksman_secondary_master,
ch_marksman_iw5_dlcgun1,CHALLENGE_MARKSMAN_DLCGUN1,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_dlcgun1,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,51,,,,0x10001CF,,,,,,,,,,,,
ch_marksman_iw5_dlcgun2,CHALLENGE_MARKSMAN_DLCGUN2,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_dlcgun2,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,52,,,,0x1000227,,,,,,,,,,,,
ch_marksman_iw5_dlcgun3,CHALLENGE_MARKSMAN_DLCGUN3,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_dlcgun3,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,53,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun4,CHALLENGE_MARKSMAN_DLCGUN4,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_dlcgun4,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,54,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun5,CHALLENGE_MARKSMAN_STG44,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_stg44,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,55,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun6,CHALLENGE_MARKSMAN_DRAGUNOV,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_dragunov,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,56,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun7,CHALLENGE_MARKSMAN_AK47,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_ak47,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,57,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun8,CHALLENGE_MARKSMAN_M16,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_m16,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,58,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun9,CHALLENGE_MARKSMAN_CEL3,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_cel3,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,59,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun10,CHALLENGE_MARKSMAN_1911,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_1911,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,60,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgun11,CHALLENGE_MARKSMAN_MP40,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_mp40,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,61,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcguna,CHALLENGE_MARKSMAN_GARAND,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_garand,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,62,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgunb,CHALLENGE_MARKSMAN_STEN,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_sten,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,1444,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgunc,CHALLENGE_MARKSMAN_LEVERACTION,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_leveraction,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,1445,,,,,,,,,,,,,,,,
ch_marksman_iw5_dlcgund,CHALLENGE_MARKSMAN_REPULSOR,CHALLENGE_MARKSMAN_DESC,CHALLENGE_MARKSMAN,1,challenge_iw5_repulsor,0,,,50,500,100,1000,200,1500,300,2500,500,5000,,,,,,,,,1446,,,,,,,,,,,,,,,,
ch_marksman_primary_master,CHALLENGE_MARKSMAN_PRIMARY_MASTERY,CHALLENGE_MARKSMAN_PRIMARY_MASTERY_DESC,CHALLENGE_MARKSMAN,1,challenge_total_mastery,0,,,26,5000,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,ch_marksman_master,
ch_marksman_secondary_master,CHALLENGE_MARKSMAN_SECONDARY_MASTERY,CHALLENGE_MARKSMAN_SECONDARY_MASTERY_DESC,CHALLENGE_MARKSMAN,1,challenge_total_mastery,0,,,8,5000,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,ch_marksman_master,
ch_marksman_master,CHALLENGE_MARKSMAN_MASTERY,CHALLENGE_MARKSMAN_MASTERY_DESC,CHALLENGE_MARKSMAN,1,challenge_total_mastery,0,,,2,10000,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,
ch_longshot_iw5_bal27,CHALLENGE_EAGLE_EYE,CHALLENGE_EAGLE_EYE_DESC,,1,challenge_iw5_bal27,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,66,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_headshot_iw5_bal27,CHALLENGE_BRAIN_SURGEON,CHALLENGE_BRAIN_SURGEON_DESC,,1,challenge_iw5_bal27,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,67,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_strafe_iw5_bal27,CHALLENGE_DEATHFROMABOVE,CHALLENGE_DEATHFROMABOVE_DESC,,1,challenge_iw5_bal27,0,,,40,3000,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_triple_iw5_bal27,CHALLENGE_NOSFERATU,CHALLENGE_NOSFERATU_DESC,,1,challenge_iw5_bal27,0,,,10,3000,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_dodge_iw5_bal27,CHALLENGE_MISSEDME,CHALLENGE_MISSEDME_DESC,,1,challenge_iw5_bal27,0,,,40,3000,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_barebone_iw5_bal27,CHALLENGE_BAREBONES,CHALLENGE_BAREBONES_DESC,,1,challenge_iw5_bal27,0,,,200,3000,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_noperk_iw5_bal27,CHALLENGE_UNSPECIAL_FORCES,CHALLENGE_UNSPECIAL_FORCES_DESC,,1,challenge_iw5_bal27,0,,,150,3000,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,ch_mastery_iw5_bal27,
ch_mastery_iw5_bal27,CHALLENGE_CAMO_MASTERY,CHALLENGE_CAMO_MASTERY_DESC,,1,challenge_iw5_bal27,0,,,7,5000,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,ch_camo_mastery_ar,
ch_longshot_iw5_ak12,CHALLENGE_EAGLE_EYE,CHALLENGE_EAGLE_EYE_DESC,,1,challenge_iw5_ak12,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,75,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_headshot_iw5_ak12,CHALLENGE_BRAIN_SURGEON,CHALLENGE_BRAIN_SURGEON_DESC,,1,challenge_iw5_ak12,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,76,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_strafe_iw5_ak12,CHALLENGE_DEATHFROMABOVE,CHALLENGE_DEATHFROMABOVE_DESC,,1,challenge_iw5_ak12,0,,,40,3000,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_triple_iw5_ak12,CHALLENGE_NOSFERATU,CHALLENGE_NOSFERATU_DESC,,1,challenge_iw5_ak12,0,,,10,3000,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_dodge_iw5_ak12,CHALLENGE_MISSEDME,CHALLENGE_MISSEDME_DESC,,1,challenge_iw5_ak12,0,,,40,3000,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_barebone_iw5_ak12,CHALLENGE_BAREBONES,CHALLENGE_BAREBONES_DESC,,1,challenge_iw5_ak12,0,,,200,3000,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_noperk_iw5_ak12,CHALLENGE_UNSPECIAL_FORCES,CHALLENGE_UNSPECIAL_FORCES_DESC,,1,challenge_iw5_ak12,0,,,150,3000,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,ch_mastery_iw5_ak12,
ch_mastery_iw5_ak12,CHALLENGE_CAMO_MASTERY,CHALLENGE_CAMO_MASTERY_DESC,,1,challenge_iw5_ak12,0,,,7,5000,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,ch_camo_mastery_ar,
ch_longshot_iw5_m182spr,CHALLENGE_EAGLE_EYE,CHALLENGE_EAGLE_EYE_DESC,,1,challenge_iw5_m182spr,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,84,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_headshot_iw5_m182spr,CHALLENGE_BRAIN_SURGEON,CHALLENGE_BRAIN_SURGEON_DESC,,1,challenge_iw5_m182spr,0,,,10,500,20,1000,40,1500,60,2500,80,5000,,,,,,,,,85,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_strafe_iw5_m182spr,CHALLENGE_DEATHFROMABOVE,CHALLENGE_DEATHFROMABOVE_DESC,,1,challenge_iw5_m182spr,0,,,40,3000,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_triple_iw5_m182spr,CHALLENGE_NOSFERATU,CHALLENGE_NOSFERATU_DESC,,1,challenge_iw5_m182spr,0,,,10,3000,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_dodge_iw5_m182spr,CHALLENGE_MISSEDME,CHALLENGE_MISSEDME_DESC,,1,challenge_iw5_m182spr,0,,,40,3000,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_barebone_iw5_m182spr,CHALLENGE_BAREBONES,CHALLENGE_BAREBONES_DESC,,1,challenge_iw5_m182spr,0,,,200,3000,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_noperk_iw5_m182spr,CHALLENGE_UNSPECIAL_FORCES,CHALLENGE_UNSPECIAL_FORCES_DESC,,1,challenge_iw5_m182spr,0,,,150,3000,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,ch_mastery_iw5_m182spr,
ch_mastery_iw5_m182spr,CHALLENGE_CAMO_MASTERY,CHALLENGE_CAMO_MASTERY_DESC,,1,challenge_iw5_m182spr,0,,,7,5000,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,ch_camo_mastery_ar,
