a0,b1,c2,d3,e4,f5,g6,h7,i8
220,horde_weapon_upgrade,iw5_titan45_mp,weapon_titan45,WEAPON_ATLAS45,WEAPON_ATLAS45_DESC,1,0,opticsreddot opticseotech opticsacog2 opticstargetenhancer xmags lasersight quickdraw
221,horde_weapon_upgrade,iw5_pbw_mp,weapon_pbw,WEAPON_PBW,WEAPON_PBW_DESC,2,6,opticsreddot opticseotech opticsacog2 opticstargetenhancer xmags lasersight quickdraw
222,horde_weapon_upgrade,iw5_vbr_mp,weapon_vbr,WEAPON_VBR,WEAPON_VBR_DESC,2,12,opticsreddot opticseotech opticsacog2 opticstargetenhancer xmags quickdraw
223,horde_weapon_upgrade,iw5_rw1_mp,weapon_rw1,WEAPON_RW1,WEAPON_RW1_DESC,3,20,opticsreddot opticseotech opticsacog2 opticstargetenhancer
230,horde_weapon_upgrade,iw5_kf5_mp,weapon_kf5,WEAPON_KF5,HORDE_KF5_DESC,1,0,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock quickdraw
231,horde_weapon_upgrade,iw5_mp11_mp,weapon_mp11,WEAPON_MP11,WEAPON_MP11_DESC,1,2,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock quickdraw
232,horde_weapon_upgrade,iw5_asm1_mp,weapon_asm1,WEAPON_ASM1,HORDE_ASM1_DESC,2,7,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock quickdraw
233,horde_weapon_upgrade,iw5_sn6_mp,weapon_sn6,WEAPON_SN6,WEAPON_SN6_DESC,2,12,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock quickdraw
234,horde_weapon_upgrade,iw5_sac3_mp_akimbosac3,weapon_sac3,WEAPON_SAC3,WEAPON_SAC3_DESC,3,19,firerate lasersight xmags
235,horde_weapon_upgrade,iw5_hmr9_mp,weapon_hmr9,WEAPON_HMR9,WEAPON_HMR9_DESC,3,24,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock quickdraw
240,horde_weapon_upgrade,iw5_bal27_mp,weapon_bal27,WEAPON_BAL27,WEAPON_BAL27_DESC,2,0,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock foregrip quickdraw
241,horde_weapon_upgrade,iw5_ak12_mp,weapon_ak12,WEAPON_AK12,WEAPON_AK12_DESC,2,5,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags stock foregrip quickdraw
242,horde_weapon_upgrade,iw5_arx160_mp,weapon_arx160,WEAPON_ARX160,WEAPON_ARX160_DESC,2,8,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags stock foregrip quickdraw
243,horde_weapon_upgrade,iw5_hbra3_mp,weapon_hbra3,WEAPON_HBRA3,HORDE_HBRA3_DESC,2,11,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock foregrip quickdraw
244,horde_weapon_upgrade,iw5_dlcgun1_mp,weapon_dlcgun1,WEAPON_MDLC1_DLCGUN1,WEAPON_MDLC1_DLCGUN1_DESC,3,14,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  stock quickdraw
245,horde_weapon_upgrade,iw5_himar_mp,weapon_himar,WEAPON_HIMAR,WEAPON_HIMAR_DESC,3,17,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags stock foregrip quickdraw
246,horde_weapon_upgrade,iw5_m182spr_mp,weapon_m182spr,WEAPON_M182SPR,WEAPON_M182SPR_DESC,3,21,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags stock quickdraw
250,horde_weapon_upgrade,iw5_uts19_mp,weapon_uts19,WEAPON_UTS19,WEAPON_UTS19_DESC,1,0,opticsreddot opticstargetenhancer foregrip lasersight xmags stock quickdraw
251,horde_weapon_upgrade,iw5_maul_mp,weapon_maul,WEAPON_870G,WEAPON_870G_DESC,2,6,opticsreddot opticstargetenhancer foregrip lasersight xmags stock quickdraw
252,horde_weapon_upgrade,iw5_rhino_mp,weapon_rhino,WEAPON_RHINO,WEAPON_RHINO_DESC,3,16,opticsreddot opticstargetenhancer foregrip lasersight xmags stock quickdraw
260,horde_weapon_upgrade,iw5_mors_mp_morsscope,weapon_mors,WEAPON_MORS,WEAPON_MORS_DESC,1,0,scopevz opticsacog2 stock
261,horde_weapon_upgrade,iw5_gm6_mp_gm6scope,weapon_gm6,WEAPON_GM6,WEAPON_GM6_DESC,2,9,scopevz opticsacog2 xmags stock
262,horde_weapon_upgrade,iw5_m990_mp_m990scope,weapon_m990,WEAPON_M990,HORDE_M990_DESC,2,13,scopevz opticsacog2 stock
263,horde_weapon_upgrade,iw5_thor_mp_thorscope,weapon_thor,WEAPON_THOR,WEAPON_THOR_DESC,3,24,scopevz xmags stock
270,horde_weapon_upgrade,iw5_em1_mp,weapon_em1,WEAPON_EM1,WEAPON_EM1_DESC,1,0,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot foregrip heatsink stock quickdraw
271,horde_weapon_upgrade,iw5_lsat_mp,weapon_lsat,WEAPON_LSAT,WEAPON_LSAT_DESC,1,3,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags stock foregrip quickdraw
272,horde_weapon_upgrade,iw5_exoxmg_mp_akimboxmg,weapon_exoxmg,WEAPON_EXOXMG,WEAPON_EXOXMG_DESC,2,10,lasersight xmags
273,horde_weapon_upgrade,iw5_epm3_mp,weapon_epm3,WEAPON_EPM3,WEAPON_EPM3_DESC,3,15,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot foregrip heatsink stock quickdraw
274,horde_weapon_upgrade,iw5_asaw_mp,weapon_asaw,WEAPON_ASAW,WEAPON_ASAW_DESC,3,19,opticsreddot opticseotech opticsacog2 opticstargetenhancer variablereddot  lasersight xmags firerate stock foregrip quickdraw
275,horde_weapon_upgrade,iw5_microdronelauncher_mp,weapon_microdronelauncher,WEAPON_MICRODRONELAUNCHER,WEAPON_MICRODRONELAUNCHER_DESC,3,23,
280,horde_weapon_upgrade,iw5_microdronelaunchercoop_mp,weapon_microdronelauncher,WEAPON_MICRODRONELAUNCHER,HORDE_MICRODRONELAUNCHER_DESC,2,0,
281,horde_weapon_upgrade,iw5_maaws_mp,weapon_maaws,WEAPON_MAAWS,WEAPON_MAAWS_DESC,2,6,
282,horde_weapon_upgrade,iw5_stingerm7_mp,weapon_stingerm7,WEAPON_STINGERM7,WEAPON_STINGERM7_DESC,4,14,
283,horde_weapon_upgrade,iw5_mahem_mp_mahemscopebase,weapon_mahem,WEAPON_MAHEM,WEAPON_MAHEM_DESC,4,22,
300,horde_weapon_upgrade,opticsreddot,weapon_attachment_reflex,WEAPON_REDDOT,PERKS_REPLACE_THE_IRON_SIGHTS,2,0,
301,horde_weapon_upgrade,opticseotech,weapon_attachment_eotech,WEAPON_EOTECH_ATTACHMENT,PERKS_DESC_EOTECH,2,3,
302,horde_weapon_upgrade,opticsacog2,weapon_attachment_acog,WEAPON_ACOG,PERKS_ENHANCED_ZOOM_ACOG_SCOPE,2,5,
303,horde_weapon_upgrade,opticstargetenhancer,weapon_attachment_targetenhancer,WEAPON_ATTACHMENT_TARGETENHANCER,PERKS_TARGET_ENHANCER,3,10,
304,horde_weapon_upgrade,variablereddot,weapon_attachment_hybrid,WEAPON_HYBRID_ATTACHMENT,PERKS_HYBRID,3,14,
305,horde_weapon_upgrade,scopevz,weapon_attachment_zoomscope,PERKS_VARIABLE_ZOOM_SCOPE,PERKS_DESC_VARIABLE_ZOOM_SCOPE,2,0,
350,horde_weapon_upgrade,lasersight,weapon_attachment_lasersight,WEAPON_ATTACHMENT_LASERSIGHT,PERKS_DESC_LASERSIGHT,2,4,
351,horde_weapon_upgrade,xmags,weapon_attachment_xmags,WEAPON_XMAGS_ATTACHMENT,PERKS_DESC_XMAGS,2,7,
352,horde_weapon_upgrade,firerate,weapon_attachment_rof,WEAPON_RAPIDFIRE_ATTACHMENT,PERKS_DESC_ROF,2,11,
353,horde_weapon_upgrade,foregrip,weapon_attachment_grip,WEAPON_GRIP_ATTACHMENT,PERKS_VERTICAL_FOREGRIP_FOR,2,15,
354,horde_weapon_upgrade,quickdraw,weapon_attachment_quickdraw,WEAPON_ATTACHMENT_QUICKDRAW,PERKS_DESC_QUICKDRAW,3,17,
355,horde_weapon_upgrade,stock,weapon_attachment_stock,WEAPON_ATTACHMENT_STOCK,PERKS_DESC_STOCK,3,19,
356,horde_weapon_upgrade,heatsink,weapon_attachment_heatsink,WEAPON_HEATSINK_ATTACHMENT,PERKS_HEATSINK_DESC,3,22,
400,horde_exo_upgrade,exoshieldhorde_equipment_mp,equipment_exo_shield,PERKS_EXO_SHIELD,PERKS_DESC_EXO_SHIELD,1,0,
401,horde_exo_upgrade,exohoverhorde_equipment_mp,equipment_exo_hover,PERKS_EXO_HOVER,PERKS_DESC_EXO_HOVER,1,3,
402,horde_exo_upgrade,exocloakhorde_equipment_mp,equipment_exo_cloak,PERKS_EXO_CLOAK,PERKS_DESC_EXO_CLOAK,1,7,
403,horde_exo_upgrade,exorepulsor_equipment_mp,equipment_exo_repulsor,PERKS_EXO_REPULSOR,PERKS_DESC_EXO_REPULSOR,1,13,
404,horde_exo_upgrade,extra_health_mp,equipment_extra_health,PERKS_EXTRA_HEALTH,PERKS_DESC_EXTRA_HEALTH,1,17,
500,horde_equipment_upgrade,frag_grenade_horde_mp,equipment_frag,PERKS_FRAG_X_1,PERKS_DESC_FRAG_X1,1,0,
501,horde_equipment_upgrade,stun_grenade_horde_mp,equipment_concussion_grenade,PERKS_STUN_GRENADE,PERKS_DESC_STUN_GRENADE,1,0,
502,horde_equipment_upgrade,paint_grenade_horde_mp,equipment_paint_grenade,WEAPON_PAINTGRENADE,PERKS_DESC_PAINTGRENADE,1,4,
503,horde_equipment_upgrade,semtex_horde_mp,equipment_semtex,PERKS_SEMTEX,PERKS_DESC_SEMTEX,1,8,
504,horde_equipment_upgrade,contact_grenade_horde_mp,equipment_contact,WEAPON_CONTACTGRENADE,WEAPON_CONTACTGRENADE_DESC,1,12,
505,horde_equipment_upgrade,exoknife_mp,equipment_exo_knife,PERKS_EXO_KNIFE,PERKS_DESC_EXO_KNIFE,2,16,
506,horde_equipment_upgrade,explosive_drone_mp,equipment_explosive_drone,MP_EXPLOSIVE_DRONE,PERKS_DESC_EXPLOSIVE_DRONE,2,25,
1000,horde_killstreak_upgrade,uav,scorestreak_fe_uav,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,0,,
1001,horde_killstreak_upgrade,orbital_strike_laser,scorestreak_fe_vulcan,KILLSTREAKS_ORBITAL_STRIKE_LASER,KILLSTREAKS_ORBITAL_STRIKE_DESC,0,,
1002,horde_killstreak_upgrade,remote_mg_sentry_turret,scorestreak_fe_turret,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,0,,sentry_guardian
1003,horde_killstreak_upgrade,strafing_run_airstrike,scorestreak_fe_strafe_run,KILLSTREAKS_STRAFING_RUN_AIRSTRIKE,KILLSTREAKS_STRAFING_RUN_AIRSTRIKE_DESC,0,,
1004,horde_killstreak_upgrade,assault_ugv,scorestreak_fe_assault_drone,KILLSTREAKS_AERIAL_ASSAULT,HORDE_AERIAL_ASSAULT_DESC,0,,assault_ugv_ai assault_ugv_mg
1005,horde_killstreak_upgrade,missile_strike,scorestreak_fe_missile_strike,KILLSTREAKS_MISSILE_STRIKE,KILLSTREAKS_MISSILE_STRIKE_DESC,0,,
1006,horde_killstreak_upgrade,warbird,scorestreak_fe_warbird,KILLSTREAKS_WARBIRD,KILLSTREAKS_WARBIRD_DESC,0,,
1007,horde_killstreak_upgrade,heavy_exosuit,scorestreak_fe_goliath,KILLSTREAKS_HEAVY_EXO,KILLSTREAKS_HEAVY_EXO_DESC,0,,
2000,horde_perk_upgrade,specialty_class_flakjacket,specialty_s1_flakjacket,PERKS_FLAKJACKET,PERKS_DESC_FLAKJACKET,0,,
2001,horde_perk_upgrade,specialty_marathon,specialty_s1_lightweight,HORDE_UNLIMITED_SPRINT,HORDE_UNLIMITED_SPRINT_DESC,0,,
2002,horde_perk_upgrade,specialty_class_toughness,specialty_s1_toughness,PERKS_TOUGHNESS,PERKS_DESC_TOUGHNESS,0,,
2003,horde_perk_upgrade,specialty_class_hardline,specialty_s1_hardline,PERKS_HARDLINE,HORDE_HARDLINE,0,,
2004,horde_perk_upgrade,specialty_class_fasthands,specialty_s1_fasthands,PERKS_FASTHANDS,PERKS_DESC_FASTHANDS,0,,
2005,horde_perk_upgrade,specialty_extended_battery,specialty_s1_battery,PERKS_EXO_BATTERY,PERKS_DESC_EXO_BATTERY,0,,
2006,horde_perk_upgrade,specialty_class_dangerclose,specialty_s1_dangerclose,PERKS_DANGERCLOSE,PERKS_DESC_DANGERCLOSE,0,,
2007,horde_perk_upgrade,specialty_class_dexterity,specialty_s1_gungho,PERKS_GUNGHO,PERKS_DESC_GUNGHO,0,,
2008,horde_perk_upgrade,specialty_horde_weaponsfree,specialty_s1_weaponsfree,HORDE_PERK_WEAPONSFREE,HORDE_DESC_PERK_WEAPONSFREE,0,,
2010,horde_perk_upgrade,upgrade_points,,HORDE_SD_UPGRADE_POINT,HORDE_DESC_SD_UPGRADE_POINT,0,,
2011,horde_perk_upgrade,super_boost,,HORDE_SUPER_BOOST,HORDE_DESC_SUPER_BOOST,0,,
3000,horde_stat_upgrade,horde_weapon_proficiency,specialty_s1_temp,HORDE_PROFICIENCY_WEAP,HORDE_DESC_PROFICIENCY_WEAP,2,5,10
3001,horde_stat_upgrade,horde_armor,specialty_s1_temp,HORDE_PROFICIENCY_HEALTH,HORDE_DESC_PROFICIENCY_HEALTH,2,10,10
3002,horde_stat_upgrade,horde_exo_battery,specialty_s1_battery,HORDE_PROFICIENCY_BATTERY,HORDE_DESC_PROFICIENCY_BATTERY,2,15,5
4000,menu,uav,scorestreak_fe_uav,KILLSTREAKS_UAV,KILLSTREAKS_UAV_DESC,0,,
4001,menu,heavy_exosuit,scorestreak_fe_goliath,KILLSTREAKS_HEAVY_EXO,KILLSTREAKS_HEAVY_EXO_DESC,0,,
4002,menu,sentry,scorestreak_fe_turret,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,0,,
4003,menu,missile,scorestreak_fe_missile_strike,KILLSTREAKS_MISSILE_STRIKE,KILLSTREAKS_MISSILE_STRIKE_DESC,0,,
4004,menu,laser,scorestreak_fe_vulcan,KILLSTREAKS_ORBITAL_STRIKE_LASER,KILLSTREAKS_ORBITAL_STRIKE_DESC,0,,
4005,menu,ugv,scorestreak_fe_assault_drone,KILLSTREAKS_AERIAL_ASSAULT,HORDE_AERIAL_ASSAULT_DESC,0,,
4006,menu,warbird,scorestreak_fe_warbird,KILLSTREAKS_WARBIRD,KILLSTREAKS_WARBIRD_DESC,0,,
5000,horde_ability_upgrade,uav_increased_time,ks_mod_uav_time,KILLSTREAKS_UAV_INCREASED_TIME,KILLSTREAKS_UAV_INCREASED_TIME_DESC,3,2,
5001,horde_ability_upgrade,uav_paint_outline,ks_mod_uav_paint,KILLSTREAKS_UAV_PAINT_OUTLINE,KILLSTREAKS_UAV_PAINT_OUTLINE_DESC,3,7,
5100,horde_ability_upgrade,orbital_strike_laser_duration,ks_mod_laser_duration,KILLSTREAKS_ORBITAL_STRIKE_LASER_TIME,KILLSTREAKS_ORBITAL_STRIKE_LASER_TIME_DESC,3,11,
5101,horde_ability_upgrade,orbital_strike_laser_width,ks_mod_laser_width,KILLSTREAKS_ORBITAL_STRIKE_LASER_WIDE,KILLSTREAKS_ORBITAL_STRIKE_LASER_WIDE_DESC,3,17,
5102,horde_ability_upgrade,orbital_strike_laser_beam,ks_mod_laser_beam,KILLSTREAKS_ORBITAL_STRIKE_LASER_BEAM,KILLSTREAKS_ORBITAL_STRIKE_LASER_BEAM_DESC,3,22,
5200,horde_ability_upgrade,sentry_machinegun_turret,ks_mod_sentry_rippable,HORDE_SENTRY_MACHINEGUN,HORDE_SENTRY_MACHINEGUN_DESC,1,1,
5201,horde_ability_upgrade,sentry_energy_turret,ks_mod_sentry_energy,KILLSTREAKS_SENTRY_ENERGY,KILLSTREAKS_SENTRY_ENERGY_DESC,3,4,
5202,horde_ability_upgrade,sentry_rocket_turret,ks_mod_sentry_rocket,KILLSTREAKS_SENTRY_ROCKET,KILLSTREAKS_SENTRY_ROCKET_DESC,3,9,
5203,horde_ability_upgrade,sentry_360,ks_mod_sentry_360,KILLSTREAKS_SENTRY_360,KILLSTREAKS_SENTRY_360_DESC,3,14,
5204,horde_ability_upgrade,sentry_rippable,ks_mod_sentry_rippable,KILLSTREAKS_SENTRY_RIPPABLE,KILLSTREAKS_SENTRY_RIPPABLE_DESC,3,19,
5300,horde_ability_upgrade,missile_strike_extra_1,ks_mod_missile_extra,KILLSTREAKS_MISSILE_STRIKE_EXTRA,KILLSTREAKS_MISSILE_STRIKE_EXTRA_DESC,3,3,
5301,horde_ability_upgrade,missile_strike_cluster,ks_mod_missile_cluster,KILLSTREAKS_MISSILE_STRIKE_CLUSTER,KILLSTREAKS_MISSILE_STRIKE_CLUSTER_DESC,3,8,
5302,horde_ability_upgrade,missile_strike_hellfire,ks_mod_missile_hellfire,KILLSTREAKS_MISSILE_STRIKE_HELLFIRE,KILLSTREAKS_MISSILE_STRIKE_HELLFIRE_DESC,3,13,
5303,horde_ability_upgrade,missile_strike_chem,ks_mod_missile_chem,KILLSTREAKS_MISSILE_STRIKE_CHEM,KILLSTREAKS_MISSILE_STRIKE_CHEM_DESC,3,18,
5400,horde_ability_upgrade,strafing_run_airstrike_two,ks_mod_strafe_second,KILLSTREAKS_AIRSTRIKE_TWO,KILLSTREAKS_AIRSTRIKE_TWO_DESC,3,7,
5500,horde_ability_upgrade,assault_ugv_rockets,ks_mod_assault_rockets,KILLSTREAKS_ASSAULT_DRONE_ROCKETS,KILLSTREAKS_ASSAULT_DRONE_ROCKETS_DESC,3,10,
5501,horde_ability_upgrade,assault_ugv_hardened,ks_mod_assault_hardened,KILLSTREAKS_ASSAULT_DRONE_HARDENED,KILLSTREAKS_ASSAULT_DRONE_HARDENED_DESC,3,15,
5600,horde_ability_upgrade,warbird_rockets,ks_mod_warbird_rockets,KILLSTREAKS_WARBIRD_ROCKETS,KILLSTREAKS_WARBIRD_ROCKETS_DESC,3,7,
5601,horde_ability_upgrade,warbird_coop_offensive,ks_mod_warbird_offcoop,KILLSTREAKS_WARBIRD_COOP,KILLSTREAKS_WARBIRD_COOP_DESC,3,12,
5602,horde_ability_upgrade,warbird_ai_attack,ks_mod_warbird_aiattack,KILLSTREAKS_WARBIRD_AI_ATTACK,KILLSTREAKS_WARBIRD_AI_ATTACK_DESC,3,17,
5603,horde_ability_upgrade,warbird_ai_follow,ks_mod_warbird_aifollow,KILLSTREAKS_WARBIRD_AI_FOLLOW,KILLSTREAKS_WARBIRD_AI_FOLLOW_DESC,3,25,
5700,horde_ability_upgrade,heavy_exosuit_radar,ks_mod_heavy_radar,KILLSTREAKS_HEAVY_EXO_RADAR,KILLSTREAKS_HEAVY_EXO_RADAR_DESC,3,6,
5701,horde_ability_upgrade,heavy_exosuit_trophy,ks_mod_heavy_trophy,KILLSTREAKS_HEAVY_EXO_TROPHY,KILLSTREAKS_HEAVY_EXO_TROPHY_DESC,3,11,
5702,horde_ability_upgrade,heavy_exosuit_punch,ks_mod_heavy_punch,KILLSTREAKS_HEAVY_EXO_PUNCH,KILLSTREAKS_HEAVY_EXO_PUNCH_DESC,3,16,
5703,horde_ability_upgrade,heavy_exosuit_rockets,ks_mod_heavy_rockets,KILLSTREAKS_HEAVY_EXO_ROCKETS,KILLSTREAKS_HEAVY_EXO_ROCKETS_DESC,3,25,
