a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11
101,specialty_undying_killstreaks,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
102,specialty_adrenaline_bonus_assist,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
103,specialty_adrenaline_bonus_headshot,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
104,specialty_adrenaline_bonus_capture,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
105,specialty_greater_killstreaks,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
106,specialty_killstreaks_chain,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
107,specialty_activecloaking,PERKS_ASSASSIN,specialty_s1_temp,PERS_DESC_COLDBLOODED,unused,,,,,,
108,specialty_adrenaline_bonus_assistedcapture,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
109,specialty_adrenaline_bonus_defuse,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
110,specialty_adrenaline_bonus_plant,PERKS_HARDLINE,specialty_s1_temp,PERKS_DESC_HARDLINE,unused,,,,,,
111,specialty_highroller,PERKS_HIGHROLLER,specialty_s1_temp,PERKS_DESC_HIGHROLLER,unused,,,,,,
112,specialty_hard_shell,PERKS_HARD_SHELL,specialty_s1_temp,PERKS_DESC_HARD_SHELL,unused,,,,,,
113,specialty_unwrapper,PERKS_UNWRAPPER,specialty_s1_temp,PERKS_DESC_UNWRAPPER,unused,,,,,,
114,specialty_blackbox,PERKS_BLACKBOX,specialty_s1_temp,PERKS_DESC_BLACKBOX,unused,,,,,,
115,tracking_drone_mp,PERKS_TRACKING_DRONE,equipment_tracking_drone,PERKS_DESC_TRACKING_DRONE,Lethal,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,ui_icon_tracking_drone_fe,
116,specialty_fastclimb,PERKS_FASTCLIMB,specialty_s1_temp,PERKS_NONE,unused,,,,,,
117,specialty_superbulletpenetration,PERKS_SUPERBP,specialty_s1_temp,PERKS_NONE,unused,,,,,,
118,specialty_perkbreak_radar,,,,unused,,,,,,
119,specialty_nojumpfriction,PERKS_NOJUMPFRICTION,specialty_s1_temp,PERKS_DESC_NOJUMPFRICTION,unused,,,,,,
120,specialty_radarimmune,PERKS_RADARIMMUNE,specialty_s1_temp,PERKS_DESC_RADARIMMUNE,unused,,,,,,
121,specialty_plainsight,PERKS_PLAINSIGHT,specialty_s1_temp,PERKS_DESC_PLAINSIGHT,unused,,,,,,
122,specialty_throwback,PERKS_THROWBACK,specialty_s1_temp,PERKS_DESC_THROWBACK,unused,,,,,,
123,specialty_bulletresupply,PERKS_BULLETRESUPPLY,specialty_s1_temp,PERKS_DESC_BULLETRESUPPLY,unused,,,,,,
124,exoshield_equipment_mp,PERKS_EXO_SHIELD,equipment_exo_shield,PERKS_DESC_EXO_SHIELD,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_shield_fe,
125,adrenaline_mp,PERKS_ADRENALINE,equipment_adrenaline,PERKS_DESC_ADRENALINE,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_overclock_fe,
126,extra_health_mp,PERKS_EXTRA_HEALTH,equipment_extra_health,PERKS_DESC_EXTRA_HEALTH,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_health_fe,
127,exocloak_equipment_mp,PERKS_EXO_CLOAK,equipment_exo_cloak,PERKS_DESC_EXO_CLOAK,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_cloak_fe,
128,exoping_equipment_mp,PERKS_EXO_PING,equipment_exo_ping,PERKS_DESC_EXO_PING,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_ping_fe,
129,fast_heal_mp,PERKS_FAST_HEAL,equipment_fast_heal,PERKS_DESC_FAST_HEAL,flash,1,,,,,
130,exomute_equipment_mp,PERKS_EXO_MUTE,equipment_exo_mute,PERKS_DESC_EXO_MUTE,Tactical,1,,,,ui_icon_exo_mute_fe,
131,tri_drone_mp,PERKS_TRI_DRONE,equipment_tri_drone,PERKS_DESC_TRI_DRONE,other,2,,,,,
132,mute_bomb_mp,PERKS_MUTE_BOMB,equipment_mute_bomb,PERKS_DESC_MUTE_BOMB,other,2,,,,,
133,frag_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,,,,,
134,contact_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
135,semtex_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
136,stun_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,Lethal,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
137,emp_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
138,paint_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
139,smoke_grenade_var_mp,PERKS_LETHAL_VARIABLE,equipment_variable_grenade,PERKS_DESC_LETHAL_VARIABLE,frag,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,grenade_variable_fe,
140,exoboost_equipment_mp,PERKS_EXO_BOOST,equipment_exo_boost,PERKS_DESC_EXO_BOOST,flash,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_overclock_fe,
141,exododge_equipment_mp,PERKS_EXO_DODGE,equipment_exo_dodge,PERKS_DESC_EXO_DODGE,flash,1,,,,,
142,exoslide_equipment_mp,PERKS_EXO_SLIDE,equipment_exo_slide,PERKS_DESC_EXO_SLIDE,flash,1,,,,,
143,exorepulsor_equipment_mp,PERKS_EXO_REPULSOR,equipment_exo_repulsor,PERKS_DESC_EXO_REPULSOR,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_repulsor_fe,
144,explosive_gel_mp,PERKS_EXPLOSIVE_GEL,equipment_explosive_gel,PERKS_DESC_EXPLOSIVE_GEL,other,2,,,,,
145,specialty_fastsprintads,PERKS_FASTSPRINTADS,specialty_s1_temp,PERKS_NONE,unused,,,,,,
146,exoknife_mp,PERKS_EXO_KNIFE,equipment_exo_knife,PERKS_DESC_EXO_KNIFE,Lethal,,LUA_MENU_EXO_LAUNCHER_CAPS,,,ui_icon_throwing_knife_fe,
147,specialty_extended_battery,PERKS_EXO_BATTERY,specialty_s1_battery,PERKS_DESC_EXO_BATTERY,Perk_Slot1,,LUA_MENU_EXO_ABILITY_CAPS,,,,specialty_s1_cp_battery
148,exohover_equipment_mp,PERKS_EXO_HOVER,equipment_exo_hover,PERKS_DESC_EXO_HOVER,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_hover_fe,
149,specialty_extendedmelee,PERKS_EXTENDEDMELEE,specialty_commando,PERKS_DESC_EXTENDEDMELEE,unused,,,,,,
150,frag_grenade_mp_lefthand,PERKS_FRAG_X_1,equipment_frag,PERKS_DESC_FRAG_X1,frag,2,,,,,
151,semtex_mp_lefthand,PERKS_SEMTEX,equipment_semtex,PERKS_DESC_SEMTEX,frag,,,,,,
152,stun_grenade_var_mp_lefthand,PERKS_LETHAL_VARIABLE,equipment_frag,PERKS_DESC_LETHAL_VARIABLE,frag,1,,,,grenade_variable_fe,
153,emp_grenade_var_mp_lefthand,PERKS_LETHAL_VARIABLE,equipment_frag,PERKS_DESC_LETHAL_VARIABLE,frag,1,,,,grenade_variable_fe,
154,paint_grenade_var_mp_lefthand,PERKS_LETHAL_VARIABLE,equipment_frag,PERKS_DESC_LETHAL_VARIABLE,frag,1,,,,grenade_variable_fe,
155,smoke_grenade_var_mp_lefthand,PERKS_LETHAL_VARIABLE,equipment_frag,PERKS_DESC_LETHAL_VARIABLE,frag,1,,,,grenade_variable_fe,
156,stun_grenade_mp_lefthand,PERKS_STUN_GRENADE,equipment_concussion_grenade,PERKS_DESC_STUN_GRENADE,frag,2,,,,,
157,emp_grenade_mp_lefthand,PERKS_EMP_GRENADE,equipment_emp_grenade,PERKS_DESC_EMP_GRENADE,frag,2,,,,,
158,paint_grenade_mp_lefthand,WEAPON_PAINTGRENADE,equipment_paint_grenade,PERKS_DESC_PAINTGRENADE,flash,2,,,,,
159,smoke_grenade_mp_lefthand,PERKS_SMOKE_GRENADE,equipment_smoke_grenade,PERKS_DESC_SMOKE_GRENADE,frag,2,,,,,
160,exoknife_mp_lefthand,PERKS_EXO_KNIFE,equipment_exo_knife,PERKS_DESC_EXO_KNIFE,throwingknife,,,,,,
161,tracking_drone_mp_lefthand,PERKS_TRACKING_DRONE,equipment_tracking_drone,PERKS_DESC_TRACKING_DRONE,flash,1,,,,,
162,specialty_fastoffhandrecovery,PERK_FASTOFFHANDRECOVERY,specialty_s1_temp,PERKS_NONE,unused,,,,,,
163,specialty_silentkill,,,,unused,,,,,,
164,specialty_longersprint,PERKS_LONGERSPRINT,specialty_s1_temp,PERKS_NONE,unused,,,,,,
165,specialty_wildcard_perkslot1,PERKS_WILDCARD_PERKSLOT1,wildcard_s1_perkslot1,PERKS_DESC_WILDCARD_PERKSLOT1,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
166,specialty_wildcard_perkslot2,PERKS_WILDCARD_PERKSLOT2,wildcard_s1_perkslot2,PERKS_DESC_WILDCARD_PERKSLOT2,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
167,specialty_wildcard_perkslot3,PERKS_WILDCARD_PERKSLOT3,wildcard_s1_perkslot3,PERKS_DESC_WILDCARD_PERKSLOT3,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
168,specialty_wildcard_primaryattachment,PERKS_WILDCARD_PRIMARYATTACHMENT,wildcard_s1_primaryattachment,PERKS_DESC_WILDCARD_PRIMARYATTACHMENT,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
169,specialty_wildcard_secondaryattachment,PERKS_WILDCARD_SECONDARYATTACHMENT,wildcard_s1_secondaryattachment,PERKS_DESC_WILDCARD_SECONDARYATTACHMENT,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
170,specialty_wildcard_dualprimaries,PERKS_WILDCARD_DUALPRIMARIES,wildcard_s1_dualprimaries,PERKS_DESC_WILDCARD_DUALPRIMARIES,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
171,specialty_wildcard_dualtacticals,PERKS_WILDCARD_DUALTACTICALS,wildcard_s1_dualtacticals,PERKS_DESC_WILDCARD_DUALTACTICALS,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
172,specialty_wildcard_extrastreak,PERKS_WILDCARD_EXTRASTREAK,wildcard_s1_extrastreak,PERKS_DESC_WILDCARD_EXTRASTREAK,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
173,specialty_wildcard_duallethals,PERKS_WILDCARD_DUALLETHALS,wildcard_s1_duallethals,PERKS_DESC_WILDCARD_DUALLETHALS,Wildcard,,LUA_MENU_WILDCARD_CAPS,,,,
174,explosive_drone_mp,PERKS_EXPLOSIVE_DRONE,equipment_explosive_drone,PERKS_DESC_EXPLOSIVE_DRONE,Lethal,1,LUA_MENU_EXO_LAUNCHER_CAPS,,,ui_icon_explosive_drone_fe,
175,specialty_minion,,,,unused,,,,,,
176,specialty_exoping_immune,PERKS_EXOPING_IMMUNE,specialty_s1_temp,PERKS_NONE,unused,,,,,,
177,exoknife_jug_mp,PERKS_EXO_KNIFE,equipment_exo_knife,PERKS_DESC_EXO_KNIFE,throwingknife,,,,,ui_icon_throwing_knife_fe,
178,specialty_ballcarrier,,,,unused,,,,,,
179,specialty_uav_paint,,,,unused,,,,,,
180,iw5_dlcgun12loot7_mp,PERKS_EXO_GRAPPLE,equipment_exo_grapple,PERKS_DESC_EXO_GRAPPLE,Tactical,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_grapple_fe,
183,specialty_stockpile,,,,unused,,,,,,
220,specialty_exo_blastsuppressor,PERKS_EXO_BLASTSUPPRESSOR,specialty_s1_blastsuppressor,PERKS_DESC_EXO_BLASTSUPPRESSOR,Perk_Slot3,,LUA_MENU_EXO_ABILITY_CAPS,,,,specialty_s1_cp_blastsuppressor
221,specialty_exo_dodgethruster,PERKS_EXO_DODGETHRUSTER,specialty_s1_temp,PERKS_DESC_EXO_DODGETHRUSTER,unused,,,,,,
222,specialty_exo_slamboots,PERKS_EXO_SLAMBOOTS,specialty_s1_slamboots,PERKS_DESC_EXO_SLAMBOOTS,unused,,,,,,
223,specialty_exo_skidplates,PERKS_EXO_SKIDPLATES,specialty_s1_temp,PERKS_DESC_EXO_SKIDPLATES,unused,,,,,,
224,specialty_exo_dashextender,PERKS_EXO_DASHEXTENDER,specialty_s1_temp,PERKS_DESC_EXO_DASHEXTENDER,unused,,,,,,
225,specialty_exo_blade,PERKS_EXO_BLADE,specialty_s1_blade,PERKS_DESC_EXO_BLADE,unused,,,,,,
226,specialty_exo_shoulderlauncher,PERKS_EXO_SHOULDERLAUNCHER,specialty_s1_temp,PERKS_DESC_EXO_SHOULDERLAUNCHER,unused,,,,,,
227,specialty_exo_battery,PERKS_EXO_BATTERY,specialty_s1_battery,PERKS_DESC_EXO_BATTERY,unused,,,,,,
228,specialty_exo_boostshocks,PERKS_EXO_BOOSTSHOCKS,specialty_s1_boostshocks,PERKS_DESC_EXO_BOOSTSHOCKS,unused,,,,,,
229,specialty_exo_ping,PERKS_EXO_PING,specialty_s1_temp,PERKS_NONE,unused,,,,,,
230,exocloakhorde_equipment_mp,PERKS_EXO_CLOAK,equipment_exo_cloak,PERKS_DESC_EXO_CLOAK,flash,1,LUA_MENU_EXO_ABILITY_CAPS,,,ui_icon_exo_cloak_fe,
