a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65
12,3050,weapon_projectile,WEAPON_XM25,xm25,6,weapon_xm25,PERKS_LAUNCHER_XM25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,,,0x100000D,,X,,0,,0,0,,,,0,,,,,
13,3053,weapon_sniper,WEAPON_MSR,iw5_msr,,weapon_msr,PERKS_SNIPER_BOLT,9,weapon_stow_mid_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x100000E,,X,,0,,0,0,,,,0,,,,,
14,3054,weapon_sniper,WEAPON_BARRETT,iw5_barrett,,weapon_barrett,PERKS_SNIPER_SEMIAUTO,8,weapon_stow_mid_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,70,70,,,0x100000F,,X,,0,,0,0,,,,0,,,,,
15,3064,weapon_shotgun,WEAPON_SPAS12,iw5_spas12,,weapon_spas12,PERKS_SHOTGUN_PUMP,10,weapon_stow_mid_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,75,25,25,100,100,,,0x1000010,,X,,0,,0,0,,,,0,,,,,
16,3081,weapon_explosive,WEAPON_AIRDROP_MARKER,airdrop_marker,1,weapon_airdrop_marker,PERKS_AIRDROP_MARKER,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000017,,,,0,,0,0,,,,0,,,,,
17,3082,weapon_explosive,WEAPON_SEMTEX,semtex,1,equipment_semtex,PERKS_SEMTEX,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000018,,,,0,,0,0,,,,0,,,,,
18,3084,weapon_grenade,WEAPON_FRAGGRENADE,frag_grenade,1,equipment_frag,PERKS_ANTIPERSONNEL_DEVICE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000019,,,,0,,0,0,,,,0,,,,,
19,3086,weapon_grenade,WEAPON_SMOKE_GRENADE,smoke_grenade,1,equipment_smoke_grenade,PERKS_DEVICE_THAT_CREATES_A,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100001B,,,,0,,0,0,,,,0,,,,,
20,3088,weapon_grenade,WEAPON_EMP_GRENADE,emp_grenade,2,equipment_emp_grenade,PERKS_DEVICE_THAT_DESTROYS_EQUIPMENT,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100001D,,,,0,,0,0,,,,0,,,,,
21,3089,weapon_grenade,WEAPON_THROWING_KNIFE,throwingknife,1,killiconmelee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100001E,,,,0,,0,0,,,,0,,,,,
22,3090,weapon_grenade,WEAPON_PAINTGRENADE,paint_grenade,1,equipment_paint_grenade,PERKS_DESC_PAINTGRENADE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100001F,,,,0,,0,0,,,,0,,,,,
23,3093,feature,PERKS_CROWD_CONTROL,feature_demolitions,,,PERKS_DESC_CROWD_CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
24,3094,feature,PERKS_SHARPSHOOTER,feature_sniper,,,PERKS_DESC_SHARPSHOOTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
25,3095,feature,PERKS_CREATE_A_CLASS,feature_cac,,,PERKS_DESC_CREATE_A_CLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
26,3096,feature,PERKS_CREATE_A_STREAK_REWARDS,feature_cas,,,PERKS_DESC_CREATE_A_STREAK_REWARDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
27,3097,feature,PERKS_SPECIALIST_STRIKE_PACKAGE,feature_streaktype_specialist,,,PERKS_DESC_SPECIALIST_STRIKE_PACKAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
28,3098,feature,PERKS_CHALLENGES,feature_challenges,,,PERKS_DESC_CHALLENGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
29,3099,feature,PERKS_HARDCORE_GAMETYPES,feature_hardcore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
30,3100,feature,PERKS_OLDSCHOOL_GAMETYPES,feature_oldschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
31,3101,feature,PERKS_CLAN_TAG,feature_clantag,,,PERKS_DESC_CLAN_TAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
32,3102,feature,MENU_PLAYERCARD,feature_playercard,,,MENU_PLAYERCARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
33,3103,feature,MENU_PLAYERCARD_TITLES,feature_playercard_title,,,MENU_PLAYERCARD_TITLES_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
34,3104,feature,MENU_PLAYERCARD_ICONS,feature_playercard_icon,,,MENU_PLAYERCARD_ICONS_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
35,3105,feature,MENU_KILLSTREAK_REWARD,feature_token_1,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
36,3106,feature,MENU_KILLSTREAK_REWARD,feature_token_2,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
37,3107,feature,MENU_KILLSTREAK_REWARD,feature_token_3,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
38,3108,feature,MENU_KILLSTREAK_REWARD,feature_token_4,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
39,3109,feature,MENU_KILLSTREAK_REWARD,feature_token_5,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
40,3110,feature,MENU_KILLSTREAK_REWARD,feature_token_6,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
41,3111,feature,MENU_KILLSTREAK_REWARD,feature_token_7,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
42,3112,feature,MENU_KILLSTREAK_REWARD,feature_token_8,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
43,3113,feature,MENU_KILLSTREAK_REWARD,feature_token_9,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
44,3114,feature,MENU_KILLSTREAK_REWARD,feature_token_10,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
45,3115,feature,MENU_KILLSTREAK_REWARD,feature_token_11,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
46,3116,feature,MENU_KILLSTREAK_REWARD,feature_token_12,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
47,3117,feature,MENU_KILLSTREAK_REWARD,feature_token_13,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
48,3118,feature,MENU_KILLSTREAK_REWARD,feature_token_14,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
49,3119,feature,MENU_KILLSTREAK_REWARD,feature_token_15,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
50,3120,feature,MENU_KILLSTREAK_REWARD,feature_token_16,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
51,3121,feature,MENU_KILLSTREAK_REWARD,feature_token_17,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
52,3122,feature,MENU_KILLSTREAK_REWARD,feature_token_18,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
53,3123,feature,MENU_KILLSTREAK_REWARD,feature_token_19,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
54,3124,feature,MENU_KILLSTREAK_REWARD,feature_token_20,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
55,3125,feature,MENU_KILLSTREAK_REWARD,feature_token_21,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
56,3126,feature,MENU_KILLSTREAK_REWARD,feature_token_22,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
57,3127,feature,MENU_KILLSTREAK_REWARD,feature_token_23,,,MENU_KILLSTREAK_REWARD_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
58,3128,feature,PERKS_GHILLIE_ARCTIC,feature_ghillie_arctic,,,PERKS_DESC_GHILLIE_ARCTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
59,3129,feature,PERKS_GHILLIE_URBAN,feature_ghillie_urban,,,PERKS_DESC_GHILLIE_URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
60,3130,feature,PERKS_GHILLIE_DESERT,feature_ghillie_desert,,,PERKS_DESC_GHILLIE_DESERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
61,3131,feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
62,3132,feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
63,3133,feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000,,,,0,,0,0,,,,0,,,,,
64,3134,weapon_assault,WEAPON_AK12,iw5_ak12,,weapon_ak12,WEAPON_AK12_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,9,10,12,8,12,9,5,4,0x1000021,,,,0,,0,0,run_and_gun,regular|hardened|veteran,ak12,0,,,,,
65,3135,weapon_assault,WEAPON_BAL27,iw5_bal27,,weapon_bal27,WEAPON_BAL27_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,gl,xmags,,,,,,,,,,,,,,,,8,9,10,14,10,9,5,4,0x1000022,,,,0,,0,0,run_and_gun,recruit|regular|hardened|veteran,bal27,0,,,,,
66,3136,weapon_assault,WEAPON_HBRA3,iw5_hbra3,,weapon_hbra3,WEAPON_HBRA3_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,10,8,8,10,10,14,5,4,0x1000023,,,,0,,0,0,run_and_gun,hardened|veteran,hbra3,0,,,,,
67,3137,weapon_heavy,WEAPON_LSAT,iw5_lsat,,weapon_lsat,WEAPON_LSAT_DESC,8,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,firerate,xmags,,,,,,,,,,,,,,,12,11,14,12,7,3,5,4,0x1000024,,,,0,,0,0,run_and_gun,regular|hardened|veteran,lsat,0,,,,,
68,3138,weapon_assault,WEAPON_HIMAR,iw5_himar,,weapon_himar,WEAPON_HIMAR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,gl,xmags,,,,,,,,,,,,,,,,9,14,9,9,10,9,5,4,0x1000025,,,,0,,0,0,run_and_gun,hardened|veteran,himar,0,,,,,
69,3139,weapon_assault,WEAPON_ARX160,iw5_arx160,,weapon_arx160,WEAPON_ARX160_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,11,9,13,10,9,8,,,0x1000026,,,,0,,0,0,run_and_gun,regular|hardened|veteran,arx160,0,,,,,
70,3140,weapon_assault,WEAPON_M182SPR,iw5_m182spr,,weapon_m182spr,WEAPON_M182SPR_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,quickdraw,dualmag,gl,xmags,,,,,,,,,,,,,,,12,11,10,7,10,9,5,4,0x1000027,,,,0,,0,0,run_and_gun,veteran,m182spr,0,,,,,
71,3141,weapon_smg,WEAPON_MP11,iw5_mp11,,weapon_mp11,WEAPON_MP11_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,firerate,xmags,,,,,,,,,,,,,,,7,7,6,12,16,12,,,0x1000028,,,,0,,0,0,run_and_gun|cqb,regular|hardened|veteran,mp11,0,,,,,
72,3142,weapon_smg,WEAPON_SN6,iw5_sn6,,weapon_sn6,WEAPON_SN6_DESC,10,weapon_stow_mid,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,dualmag,firerate,xmags,,,,,,,,,,,,,,11,6,6,13,12,12,5,4,0x1000029,,,,0,,0,0,run_and_gun|cqb,hardened|veteran,sn6,0,,,,,
73,3143,weapon_smg,WEAPON_HMR9,iw5_hmr9,,weapon_hmr9,WEAPON_HMR9_DESC,10,weapon_stow_mid,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,dualmag,gl,firerate,xmags,,,,,,,,,,,,,6,6,6,12,12,18,,,0x100002A,,,,0,,0,0,run_and_gun|cqb,veteran,hmr9,0,,,,,
74,3144,weapon_smg,WEAPON_SAC3,iw5_sac3,,weapon_sac3,WEAPON_SAC3_DESC,10,weapon_stow_mid_up,default,lasersight,trackrounds,silencer01,parabolicmicrophone,firerate,xmags,longrange,,,,,,,,,,,,,,,,,,,,,,,,3,7,7,17,12,14,5,4,0x100002B,,,,0,,0,0,run_and_gun|cqb,hardened|veteran,sac3,0,,,,,
75,3145,weapon_smg,WEAPON_ASM1,iw5_asm1,,weapon_asm1,WEAPON_ASM1_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,dualmag,firerate,xmags,,,,,,,,,,,,,,6,11,6,11,12,14,,,0x100002C,,,,0,,0,0,run_and_gun|cqb,regular|hardened|veteran,asm1,0,,,,,
76,3146,weapon_smg,WEAPON_KF5,iw5_kf5,,weapon_kf5,WEAPON_KF5_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,dualmag,firerate,xmags,,,,,,,,,,,,,,7,7,11,9,12,14,5,4,0x100002D,,,,0,,0,0,run_and_gun|cqb,recruit|regular|hardened|veteran,kf5,0,,,,,
77,3147,weapon_sniper,WEAPON_M990,iw5_m990,,weapon_m990,WEAPON_M990_DESC,9,weapon_stow_mid_up,,opticsacog2,scopevz,opticsthermal,stabilizer,stock,trackrounds,ironsights,,,,,,,,,,,,,,,,,,,,,,,,9,15,14,9,8,5,,,0x100002E,,,,0,,0,0,camper,hardened|veteran,m990,0,,,,,
78,3148,weapon_sniper,WEAPON_MORS,iw5_mors,,weapon_mors,WEAPON_MORS_DESC,9,weapon_stow_mid_up,,opticsacog2,scopevz,opticsthermal,stabilizer,stock,trackrounds,parabolicmicrophone,ironsights,,,,,,,,,,,,,,,,,,,,,,,11,15,14,3,8,9,1,1,0x100002F,,,,0,,0,0,camper,regular|hardened|veteran,mors,0,,,,,
79,3149,weapon_sniper,WEAPON_GM6,iw5_gm6,,weapon_gm6,WEAPON_GM6_DESC,9,weapon_stow_mid_up,,scopevz,opticsthermal,opticsacog2,stabilizer,stock,trackrounds,silencer01,parabolicmicrophone,ironsights,xmags,,,,,,,,,,,,,,,,,,,,,10,14,19,5,8,4,5,4,0x1000030,,,,0,,0,0,camper,recruit|regular|hardened|veteran,gm6,0,,,,,
80,3150,weapon_sniper,WEAPON_THOR,iw5_thor,,weapon_thor,WEAPON_THOR_DESC,9,weapon_stow_mid_up,,stabilizer,stock,parabolicmicrophone,xmags,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,15,3,6,5,5,4,0x1000031,,,,0,,0,0,cqb,hardened|veteran,thor,0,,,,,
81,3151,weapon_shotgun,WEAPON_870G,iw5_maul,,weapon_maul,WEAPON_870G_DESC,10,weapon_stow_mid_up,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,4,19,4,6,12,15,5,4,0x1000032,,,,0,,0,0,cqb,hardened|veteran,maul,0,,,,,
82,3152,weapon_shotgun,WEAPON_UTS19,iw5_uts19,,weapon_uts19,WEAPON_UTS19_DESC,10,,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,,6,16,4,5,16,13,5,4,0x1000033,,,,0,,0,0,cqb,recruit|regular|hardened|veteran,uts19,0,,,,,
83,3153,weapon_shotgun,WEAPON_RHINO,iw5_rhino,,weapon_rhino,WEAPON_RHINO_DESC,10,weapon_stow_mid_up,,opticsreddot,opticstargetenhancer,lasersight,stock,foregrip,silencer01,parabolicmicrophone,longrange,quickdraw,xmags,,,,,,,,,,,,,,,,,,,,,5,17,3,10,12,13,5,4,0x1000034,,,,0,,0,0,cqb,regular|hardened|veteran,rhino,0,,,,,
84,3154,weapon_pistol,WEAPON_VBR,iw5_vbr,,weapon_vbr,WEAPON_VBR_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,akimbo,silencer01,longrange,xmags,,,,,,,,,,,,,,,,,,,,,,6,6,5,12,12,9,5,4,0x1000035,,,,0,,0,0,run_and_gun|cqb|camper,veteran,vbr,0,,,,,
85,3155,weapon_pistol,WEAPON_PBW,iw5_pbw,,weapon_pbw,WEAPON_PBW_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,6,6,10,6,12,10,,,0x1000036,,,,0,,0,0,run_and_gun|cqb|camper,hardened|veteran,pbw,0,,,,,
86,3156,weapon_pistol,WEAPON_RW1,iw5_rw1,,weapon_rw1,WEAPON_RW1_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,tactical,longrange,rw1scopebase,,,,,,,,,,,,,,,,,,,,,,,,7,16,6,2,12,7,,,0x1000037,,,,0,,0,0,run_and_gun|cqb|camper,regular|hardened|veteran,rw1,0,,,,,
87,3157,weapon_pistol,WEAPON_ATLAS45,iw5_titan45,,weapon_titan45,WEAPON_ATLAS45_DESC,10,weapon_stow_mid_up,,opticsreddot,opticseotech,opticstargetenhancer,opticsacog2,lasersight,tactical,akimbo,silencer01,parabolicmicrophone,longrange,xmags,,,,,,,,,,,,,,,,,,,,7,7,6,7,12,11,2,2,0x1000038,,,,0,,0,0,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,titan45,0,,,,,
