loadoutPerk1,specialty_class_lightweight,specialty_class_lowprofile,specialty_class_lightweight,specialty_class_lightweight,specialty_class_dangerclose,specialty_class_lowprofile,specialty_class_lightweight,specialty_class_lowprofile,specialty_class_lowprofile,specialty_class_lightweight,specialty_class_flakjacket,specialty_null
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_extended_battery,specialty_null
loadoutPerk3,specialty_class_coldblooded,specialty_class_dexterity,specialty_class_fasthands,specialty_class_coldblooded,specialty_class_fasthands,specialty_class_coldblooded,specialty_class_fasthands,specialty_class_coldblooded,specialty_class_dexterity,specialty_class_fasthands,specialty_null,specialty_class_fasthands
loadoutPerk4,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_class_dexterity
loadoutPerk5,specialty_class_hardline,specialty_class_hardwired,specialty_class_hardline,specialty_class_toughness,specialty_class_toughness,specialty_class_hardline,specialty_class_hardline,specialty_class_hardwired,specialty_class_scavenger,specialty_class_toughness,specialty_exo_blastsuppressor,specialty_class_toughness
loadoutPerk6,specialty_exo_blastsuppressor,specialty_null,specialty_null,specialty_null,specialty_class_scavenger,specialty_exo_blastsuppressor,specialty_class_scavenger,specialty_null,specialty_null,specialty_null,specialty_class_toughness,specialty_null
loadoutWildcard1,specialty_wildcard_perkslot3,specialty_null,specialty_wildcard_primaryattachment,specialty_wildcard_primaryattachment,specialty_wildcard_perkslot3,specialty_wildcard_primaryattachment,specialty_wildcard_perkslot3,specialty_null,specialty_null,specialty_wildcard_extrastreak,specialty_wildcard_perkslot1,specialty_wildcard_perkslot2
loadoutWildcard2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_wildcard_perkslot3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutWildcard3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
loadoutStreak1,assault_ugv,assault_ugv,uav,uav,uav,none,uav,uav,uav,uav,recon_ugv,orbital_carepackage
loadoutStreakModule1a,assault_ugv_mg,assault_ugv_mg,uav_paint_outline,uav_scrambler,uav_assist_points,none,uav_advanced_updates,uav_support,uav_assist_points,none,recon_ugv_cloak,orbital_carepackage_roll
loadoutStreakModule1b,none,assault_ugv_ar_hud,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule1c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak2,orbital_carepackage,warbird,orbital_strike_laser,orbital_carepackage,warbird,none,orbitalsupport,orbital_carepackage,orbital_carepackage,assault_ugv,none,missile_strike
loadoutStreakModule2a,orbital_carepackage_roll,warbird_flares,orbital_strike_laser_beam,orbital_carepackage_hide,none,none,none,orbital_carepackage_support,orbital_carepackage_odds,none,none,missile_strike_extra_1
loadoutStreakModule2b,none,none,none,none,none,none,none,none,none,none,none,missile_strike_extra_2
loadoutStreakModule2c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak3,emp,emp,remote_mg_sentry_turret,warbird,orbital_strike_laser,none,warbird,remote_mg_sentry_turret,remote_mg_sentry_turret,warbird,none,strafing_run_airstrike
loadoutStreakModule3a,emp_streak_kill,emp_time_1,sentry_energy_turret,warbird_cloak,orbital_strike_laser_duration,none,warbird_ai_attack,sentry_support,none,none,none,strafing_run_airstrike_flares
loadoutStreakModule3b,emp_equipment_kill,emp_time_2,none,none,orbital_strike_laser_burst1,none,none,none,none,none,none,strafing_run_airstrike_two
loadoutStreakModule3c,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreak4,none,none,none,none,none,none,none,none,none,missile_strike,none,none
loadoutStreakModule4a,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule4b,none,none,none,none,none,none,none,none,none,none,none,none
loadoutStreakModule4c,none,none,none,none,none,none,none,none,none,none,none,none
