a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
30,2ndlt2,314100,23000,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt2,337100,,,,,,31,31,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV31
31,1stlt1,337100,24200,RANK_1STLT,RANK_1STLT_FULL,rank_1stlt1,361300,,,,,,32,32,,RANK_1STLT_FULL,PERKS_UNLOCKED_AT_LV32
32,1stlt2,361300,25400,RANK_1STLT,RANK_1STLT_FULL2,rank_1stlt2,386700,,,,,,33,33,,RANK_1STLT_FULL_N,PERKS_UNLOCKED_AT_LV33
33,capt1,386700,26600,RANK_CAPT,RANK_CAPT_FULL,rank_capt1,413300,,,,,,34,34,,RANK_CAPT_FULL,PERKS_UNLOCKED_AT_LV34
34,capt2,413300,27800,RANK_CAPT,RANK_CAPT_FULL2,rank_capt2,441100,,,,,,35,35,,RANK_CAPT_FULL_N,PERKS_UNLOCKED_AT_LV35
35,maj1,441100,29000,RANK_MAJ,RANK_MAJ_FULL,rank_maj1,470100,,,,,,36,36,,RANK_MAJ_FULL,PERKS_UNLOCKED_AT_LV36
36,maj2,470100,30200,RANK_MAJ,RANK_MAJ_FULL2,rank_maj2,500300,,,,,,37,37,,RANK_MAJ_FULL_N,PERKS_UNLOCKED_AT_LV37
37,ltcol1,500300,31400,RANK_LTCOL,RANK_LTCOL_FULL,rank_ltcol1,531700,,,,,,38,38,,RANK_LTCOL_FULL,PERKS_UNLOCKED_AT_LV38
38,ltcol2,531700,32600,RANK_LTCOL,RANK_LTCOL_FULL2,rank_ltcol2,564300,,,,,,39,39,,RANK_LTCOL_FULL_N,PERKS_UNLOCKED_AT_LV39
39,col1,564300,33800,RANK_COL,RANK_COL_FULL,rank_col1,598100,,,,,,40,40,,RANK_COL_FULL,PERKS_UNLOCKED_AT_LV40
40,col2,598100,35000,RANK_COL,RANK_COL_FULL2,rank_col2,633100,,,,,,41,41,,RANK_COL_FULL_N,PERKS_UNLOCKED_AT_LV41
41,bgen1,633100,36200,RANK_BGEN,RANK_BGEN_FULL,rank_bgen1,669300,,,,,,42,42,,RANK_BGEN_FULL,PERKS_UNLOCKED_AT_LV42
42,bgen2,669300,37400,RANK_BGEN,RANK_BGEN_FULL2,rank_bgen2,706700,,,,,,43,43,,RANK_BGEN_FULL_N,PERKS_UNLOCKED_AT_LV43
43,majgen1,706700,38600,RANK_MAJGEN,RANK_MAJGEN_FULL,rank_majgen1,745300,,,,,,44,44,,RANK_MAJGEN_FULL,PERKS_UNLOCKED_AT_LV44
44,majgen2,745300,39800,RANK_MAJGEN,RANK_MAJGEN_FULL2,rank_majgen2,785100,,,,,,45,45,,RANK_MAJGEN_FULL_N,PERKS_UNLOCKED_AT_LV45
45,ltgen1,785100,41000,RANK_LTGEN,RANK_LTGEN_FULL,rank_ltgen1,826100,,,,,,46,46,,RANK_LTGEN_FULL,PERKS_UNLOCKED_AT_LV46
46,ltgen2,826100,42200,RANK_LTGEN,RANK_LTGEN_FULL2,rank_ltgen2,868300,,,,,,47,47,,RANK_LTGEN_FULL_N,PERKS_UNLOCKED_AT_LV47
47,gen1,868300,43400,RANK_GEN,RANK_GEN_FULL,rank_gen1,911700,,,,,,48,48,,RANK_GEN_FULL,PERKS_UNLOCKED_AT_LV48
48,gen2,911700,46600,RANK_GEN,RANK_GEN_FULL2,rank_gen2,958300,,,,,,49,49,,RANK_GEN_FULL_N,PERKS_UNLOCKED_AT_LV49
49,comm1,958300,0,RANK_COMM,RANK_COMM_FULL,rank_comm1,1002100,,,,,,50,50,,RANK_COMM_FULL,PERKS_UNLOCKED_AT_LV50
