name,soundevent,secondaryaliasname,sequence,playbackPercentage,probability,loadspec,platform,context,file,loop,spl,vol_min,vol_max,vol_mod,masterpriority,masterpercent,slavepercent,priority,poly,pitch_min,pitch_max,dist_min,dist_max,volumefalloffcurve,shape,occlusionshape,lpfcurve,reverbSendCurve,dopplerpreset,spatialize,speakermap,dsp_bus,reverb,reverbwetmixoverride,chainaliasname,focusPercentage,startdelay,lfe percentage,center percentage,smartpanDistance2d,smartpanDistance3d,smartpanAttenuation3d,velocity_min,stereo3dAngle,stereo3dStart,stereo3dEnd,pausable,subtitle,misc
exp_remote_missile_dist_sub,,exp_remote_missile_debris,3,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_underground_low03.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,1,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_crack_debris1_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,2,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_crack_debris2_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,3,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_105mm_crack_debris3_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_boom,,,1,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_building_big_hit1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,2,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_building_big_hit2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,3,,,!all_mp invasion ny_manhattan rescue_2 berlin so_ied_berlin,,,mw3/explosions/exp_building_big_hit3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile,,,6,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,,7,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,,8,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,,9,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,,10,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,,4,,,berlin,,,null.wav,,,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,,5,,,berlin,,,null.wav,,,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,,6,,,berlin,,,null.wav,,,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,,4,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,,5,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,,6,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_boom,,,4,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,5,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,6,,,berlin,,,null.wav,,,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,11,,,so_ied_berlin,,,mw3/shg/levels/ny_harbor/shg_harb_missile_boat_explo_01.wav,,explo_5,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.95,1.1,2500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,12,,,so_ied_berlin,,,mw3/shg/levels/ny_harbor/shg_harb_missile_boat_explo_02.wav,,explo_5,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.95,1.1,2500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,13,,,so_ied_berlin,,,mw3/shg/levels/ny_harbor/shg_harb_missile_boat_explo_03.wav,,explo_5,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.95,1.1,2500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,14,,,so_ied_berlin,,,mw3/shg/levels/ny_harbor/shg_harb_missile_boat_explo_04.wav,,explo_5,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.95,1.1,2500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,15,,,so_ied_berlin,,,mw3/shg/levels/ny_harbor/shg_harb_missile_boat_explo_05.wav,,explo_5,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.95,1.1,2500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,7,,,so_ied_berlin,,,mw3/shg/weapons/Support_AC130/ac130_support_imp_main_01.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1.1,1.2,2500,10000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,8,,,so_ied_berlin,,,mw3/shg/weapons/Support_AC130/ac130_support_imp_main_02.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1.1,1.2,2500,10000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,9,,,so_ied_berlin,,,mw3/shg/weapons/Support_AC130/ac130_support_imp_main_03.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1.1,1.2,2500,10000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,7,,,so_ied_berlin,,,mw3/shg/explosions/rock/shg_rockexplosion_layer1.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.9,1.05,2500,10000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,8,,,so_ied_berlin,,,mw3/shg/explosions/rock/shg_rockexplosion_layer2.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.9,1.05,2500,10000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,9,,,so_ied_berlin,,,mw3/shg/explosions/rock/shg_rockexplosion_layer3.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,0.9,1.05,2500,10000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_boom,,,7,,,so_ied_berlin,,,mw3/explosions/exp_building_big_hit1.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1,1.1,2500,10000,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,8,,,so_ied_berlin,,,mw3/explosions/exp_building_big_hit2.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1,1.1,2500,10000,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,9,,,so_ied_berlin,,,mw3/explosions/exp_building_big_hit3.wav,,explo_4,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,6,unrestricted,1,1.1,2500,10000,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,16,,,invasion rescue_2,,,mw3/explosions/exp_105mm_boom1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,17,,,invasion rescue_2,,,mw3/explosions/exp_105mm_boom2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,18,,,invasion rescue_2,,,mw3/explosions/exp_105mm_boom3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,19,,,invasion rescue_2,,,mw3/explosions/exp_105mm_boom4.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,20,,,invasion rescue_2,,,mw3/explosions/exp_105mm_boom5.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,10,,,invasion rescue_2,,,mw3/explosions/exp_underground_low01.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,11,,,invasion rescue_2,,,mw3/explosions/exp_underground_low02.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,12,,,invasion rescue_2,,,mw3/explosions/exp_underground_low03.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,9000,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,10,,,invasion rescue_2,,,mw3/explosions/exp_105mm_crack_debris1_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,11,,,invasion rescue_2,,,mw3/explosions/exp_105mm_crack_debris2_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,12,,,invasion rescue_2,,,mw3/explosions/exp_105mm_crack_debris3_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,4500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_boom,,,10,,,invasion rescue_2,,,mw3/explosions/exp_building_big_hit1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,11,,,invasion rescue_2,,,mw3/explosions/exp_building_big_hit2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,12,,,invasion rescue_2,,,mw3/explosions/exp_building_big_hit3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,3500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,21,,,all_mp,,,mw3/explosions/exp_105mm_boom1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,20000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,22,,,all_mp,,,mw3/explosions/exp_105mm_boom2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,20000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,23,,,all_mp,,,mw3/explosions/exp_105mm_boom3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,20000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,24,,,all_mp,,,mw3/explosions/exp_105mm_boom4.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,20000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile,,exp_remote_missile_dist_sub,25,,,all_mp,,,mw3/explosions/exp_105mm_boom5.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,1000,20000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,13,,,all_mp,,,mw3/explosions/exp_underground_low01.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,12500,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,14,,,all_mp,,,mw3/explosions/exp_underground_low02.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,12500,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_dist_sub,,exp_remote_missile_debris,15,,,all_mp,,,mw3/explosions/exp_underground_low03.wav,,explo_4,0.4455,0.4455,mw3_DEPRECATED_MAX,50,,0.95,5,,1.1,1.2,1000,12500,,,,,,,,,weapons,,,,,100,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,13,,,all_mp,,,mw3/explosions/exp_105mm_crack_debris1_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,7500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,14,,,all_mp,,,mw3/explosions/exp_105mm_crack_debris2_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,7500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_debris,,exp_remote_missile_boom,15,,,all_mp,,,mw3/explosions/exp_105mm_crack_debris3_str.wav,,debris_5,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,5,,0.9,1.05,1000,7500,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
exp_remote_missile_boom,,,13,,,all_mp,,,mw3/explosions/exp_building_big_hit1.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,5500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,14,,,all_mp,,,mw3/explosions/exp_building_big_hit2.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,5500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile_boom,,,15,,,all_mp,,,mw3/explosions/exp_building_big_hit3.wav,,explo_4,0.4275,0.4455,mw3_DEPRECATED_MAX,50,,0.9,3,,1,1.1,1000,5500,,,,,,,,,weapons,,,,,,0.7,,,,,,,,,,,
exp_remote_missile,,,26,,,ny_manhattan,,,null.wav,,,0.45,0.45,mw3_DEPRECATED_MAX,50,,0.97,5,,0.95,1.1,3500,15000,,,,,,,,,weapons,,,,,,0.5,,,,,,,,,,,
